$1_superfecta.numbers,$1_superfecta.paid,$1_trifecta.numbers,$1_trifecta.paid,$2_exacta.numbers,$2_exacta.paid,1.daily_double.numbers,1.daily_double.paid,1.exacta.numbers,1.exacta.paid,1.first.gate,1.first.name,1.first.place,1.first.show,1.first.win,1.second.gate,1.second.name,1.second.place,1.second.show,1.superfecta.numbers,1.superfecta.paid,1.third.gate,1.third.name,1.third.show,1.trifecta.numbers,1.trifecta.paid,10.daily_double.numbers,10.daily_double.paid,10.exacta.numbers,10.exacta.paid,10.first.gate,10.first.name,10.first.place,10.first.show,10.first.win,10.pick_3.numbers,10.pick_3.paid,10.pick_4.numbers,10.pick_4.paid,10.pick_5.numbers,10.pick_5.paid,10.second.gate,10.second.name,10.second.place,10.second.show,10.superfecta.numbers,10.superfecta.paid,10.third.gate,10.third.name,10.third.show,11.daily_double.numbers,11.daily_double.paid,11.exacta.numbers,11.exacta.paid,11.first.gate,11.first.name,11.first.place,11.first.show,11.first.win,11.pick_3.numbers,11.pick_3.paid,11.pick_4.numbers,11.pick_4.paid,11.pick_5.numbers,11.pick_5.paid,11.second.gate,11.second.name,11.second.place,11.second.show,11.superfecta.numbers,11.superfecta.paid,11.third.gate,11.third.name,11.third.show,11.trifecta.numbers,11.trifecta.paid,2.daily_double.numbers,2.daily_double.paid,2.exacta.numbers,2.exacta.paid,2.first.gate,2.first.name,2.first.place,2.first.show,2.first.win,2.second.gate,2.second.name,2.second.place,2.second.show,2.superfecta.numbers,2.superfecta.paid,2.third.gate,2.third.name,2.third.show,2.trifecta.numbers,2.trifecta.paid,3.daily_double.numbers,3.daily_double.paid,3.exacta.numbers,3.exacta.paid,3.first.gate,3.first.name,3.first.place,3.first.show,3.first.win,3.pick_3.numbers,3.pick_3.paid,3.second.gate,3.second.name,3.second.place,3.second.show,3.superfecta.numbers,3.superfecta.paid,3.third.gate,3.third.name,3.third.show,3.trifecta.numbers,3.trifecta.paid,4.daily_double.numbers,4.daily_double.paid,4.exacta.numbers,4.exacta.paid,4.first.gate,4.first.name,4.first.place,4.first.show,4.first.win,4.pick_3.numbers,4.pick_3.paid,4.pick_4.numbers,4.pick_4.paid,4.second.gate,4.second.name,4.second.place,4.second.show,4.superfecta.numbers,4.superfecta.paid,4.third.gate,4.third.name,4.third.show,4.trifecta.numbers,4.trifecta.paid,5.daily_double.numbers,5.daily_double.paid,5.exacta.numbers,5.exacta.paid,5.first.gate,5.first.name,5.first.place,5.first.show,5.first.win,5.pick_3.numbers,5.pick_3.paid,5.second.gate,5.second.name,5.second.place,5.second.show,5.superfecta.numbers,5.superfecta.paid,5.third.gate,5.third.name,5.third.show,5.trifecta.numbers,5.trifecta.paid,6.daily_double.numbers,6.daily_double.paid,6.exacta.numbers,6.exacta.paid,6.first.gate,6.first.name,6.first.place,6.first.show,6.first.win,6.pick_3.numbers,6.pick_3.paid,6.second.gate,6.second.name,6.second.place,6.second.show,6.superfecta.numbers,6.superfecta.paid,6.third.gate,6.third.name,6.third.show,6.trifecta.numbers,6.trifecta.paid,7.daily_double.numbers,7.daily_double.paid,7.exacta.numbers,7.exacta.paid,7.first.gate,7.first.name,7.first.place,7.first.show,7.first.win,7.pick_3.numbers,7.pick_3.paid,7.pick_4.numbers,7.pick_4.paid,7.second.gate,7.second.name,7.second.place,7.second.show,7.superfecta.numbers,7.superfecta.paid,7.third.gate,7.third.name,7.third.show,7.trifecta.numbers,7.trifecta.paid,8.daily_double.numbers,8.daily_double.paid,8.exacta.numbers,8.exacta.paid,8.first.gate,8.first.name,8.first.place,8.first.show,8.first.win,8.pick_3.numbers,8.pick_3.paid,8.second.gate,8.second.name,8.second.place,8.second.show,8.superfecta.numbers,8.superfecta.paid,8.third.gate,8.third.name,8.third.show,8.trifecta.numbers,8.trifecta.paid,9.daily_double.numbers,9.daily_double.paid,9.exacta.numbers,9.exacta.paid,9.first.gate,9.first.name,9.first.place,9.first.show,9.first.win,9.pick_3.numbers,9.pick_3.paid,9.pick_4.numbers,9.pick_4.paid,9.pick_5.numbers,9.pick_5.paid,9.second.gate,9.second.name,9.second.place,9.second.show,9.superfecta.numbers,9.superfecta.paid,9.third.gate,9.third.name,9.third.show,9.trifecta.numbers,9.trifecta.paid,year
,,,,,,,,6-4,81.0,6,Biker Boy,5.4,3.0,10.2,4,Smarten Destiny,14.6,5.6,6-4-5-1,1589.0,5,Brother Bird,2.1,6-4-5,330.4,4-2,23.2,2-9,14.6,2,Herp,3.4,2.6,6.0,,,,,,,9,Runaway Pepper,3.2,2.8,,,10,Gallant Pleasure,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,6-2,28.2,2-4,41.4,2,Wild Target,3.0,2.2,5.4,4,Salt Free,6.4,2.6,,,1,Tyrus,2.1,2-4-1,75.4,2-8,9.6,8-3,41.4,8,La Stupenda,2.8,2.2,3.6,,,3,Model's Memo,7.8,4.2,,,7,All By Chance,3.8,,,8-1,7.6,1-2,20.4,1,Ghost Is Clear,3.2,2.1,4.0,,,,,2,Bull Dozer,5.4,3.0,1-2-6-5,158.8,6,Hamiltonian,2.8,,,1-5,44.8,5-6,83.6,5,Grand Contender,5.4,3.8,11.2,,,6,Drogue,6.8,4.0,5-6-4-1,1668.0,4,Hard Aces,3.0,,,5-2,34.2,2-9,17.0,2,Electric Temptress,3.2,2.8,5.6,,,9,Too Cool,3.2,2.6,2-9-11-4,224.0,11,Tamazula Rose,3.2,,,2-3,20.4,3-9,38.4,3,Turbalo,3.8,2.6,6.4,,,,,9,Hondo Wando,5.6,3.6,3-9-8-6,240.0,8,Argumental,2.6,,,3-1,87.2,1-5,201.8,1,Shake Up,11.0,9.2,25.2,,,5,Air Squadron,5.6,3.8,1-5-8-4,4697.8,8,Scout Leader,5.4,,,1-4,58.4,1-4,31.8,1,Exploring,5.2,3.6,4.8,,,,,,,4,A. P. Indian,5.4,3.8,,,2,Saint X.,2.6,,,2013-09-06
,,,,,,,,5-3,98.0,5,Two Steppin' Tango,5.6,3.4,12.0,3,Seamstress,9.6,4.2,5-3-1-2,1197.0,,Sweetonrich,2.2,5-3-1,300.8,3-2,99.4,2-8,167.0,2,Divine Beauty,8.6,5.0,14.2,,,,,,,8,Please Explain,12.8,7.4,2-8-9-5,2839.8,9,Daddy's Memory,3.8,2-6,178.2,6-1,106.2,6,Wry,7.4,4.2,15.8,,,,,,,1,Thundergram,4.2,2.8,6-1-2-11,5113.4,2,Culprit,3.2,,,5-4,225.4,4-5,251.4,4,Deal I'm In,11.2,4.4,37.6,5,Flattering Touch,7.8,4.4,4-5-6-1,2755.4,6,Distinct Affair,3.8,,,4-6,589.8,6-8,221.0,6,Quip Trip,15.4,7.2,30.4,,,8,Well Mannered,6.6,3.8,6-8-4-1,3159.4,4,Thanks Bro,4.6,,,6-2,98.0,2-6,19.2,2,Richies Party Girl,3.0,2.4,5.0,,,,,6,Runway Giant,3.4,3.0,2-6-4-7,112.8,4,Sandbar,3.0,,,2-5,19.8,5-1,86.0,5,Harry's Holiday,5.4,4.0,7.2,,,1,Commander Luke,14.6,8.8,5-1-6-10,7654.8,6,Wordly Dreamer,9.0,,,1-5,390.6,5-10,500.0,5,Cleburne,22.8,12.0,70.2,,,10,Smart Cover,18.0,9.6,5-10-4-9,14587.0,4,Tapiture,3.4,,,5-1,41.6,1-8,41.8,1,Untapable,6.2,5.0,13.6,,,,,8,Stonetastic,4.0,3.6,1-8-4-3,1081.8,4,Rosalind,6.6,,,5-4,240.8,4-5,12.8,4,Flashy American,3.0,2.2,5.2,,,5,Wine Princess,3.2,2.8,4-5-7-6,660.0,7,Awesome Flower,4.0,,,4-3,20.8,3-5,20.4,3,Pants On Fire,3.4,2.6,7.0,,,,,,,5,Taptowne,3.2,2.2,3-5-2-4,681.4,2,Good Morning Diva,2.6,,,2013-09-07
,,,,,,,,5-2,23.2,5,Finnerty's Fortune,3.0,2.2,4.4,2,Devil Gentle,4.0,2.8,5-2-6-4,566.2,6,Know In Advance,5.2,5-2-6,123.8,,,,,8,Major Hope,3.0,2.4,4.2,10-5-8,54.4,1-10-5-2/8,168.2,3-1-10-5-2/8,302.55,11,Dehere On Tour,5.2,3.8,,,1,Half Wed,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5-1,59.8,1-7,29.0,1,Kentucky Lightnin,3.8,2.4,11.4,7,Arky Bill,2.4,2.1,1-7-2-4,533.8,2,Hanuman,2.6,,,1-5,29.4,,,5,Storm Make'n,3.6,2.4,4.8,5-1-5,214.0,9,Dictum,8.2,3.4,,,2,Calbo,2.8,,,,,,,5,Squadron A,3.2,2.4,6.8,1-7-5,46.6,5/8-1-1/5/7-5,462.8,3,Valdina Saint,2.4,2.2,,,1,Artemus Paperboy,3.0,,,5-1,37.4,1-3,48.2,1,Feature Winner,4.2,2.8,6.6,5-5-1,68.6,3,Lake Brilliant,3.8,2.4,,,4,Tyler T,4.0,,,1-3,63.6,3-8,35.4,3,Almost Famous,5.0,3.8,11.8,5-1-3,266.0,8,Coastline,3.6,3.2,,,7,Ford's On Fire,8.2,,,3-1,44.2,,,1,Go Daddy Girl,3.8,2.8,7.0,1-3-1,231.6,5-1-3-1,1034.4,4,Heaven's Saint,3.6,2.2,,,5,Exercens,2.2,,,1-10,9.8,10-3,21.2,10,Kendall's Boy,2.2,2.1,2.4,3-1-10,81.4,3,Oogeley Eye,8.2,6.4,,,2,Pentafecta,5.2,,,10-5,22.6,5-3,30.8,5,Ocean Bertie,5.6,3.0,13.2,1-10-5,96.4,,,,,3,Strike Charmer,3.0,2.2,,,9,Allegheny Angel,3.0,,,2013-09-13
,,,,,,,,6-2,66.4,6,Vexed,4.0,3.0,6.8,2,Light Striker,8.0,3.8,6-2-4-3,1338.0,4,My Merry Way,3.2,6-2-4,335.8,5-1,40.4,1-5,132.6,1,Vuitton,7.8,5.4,17.6,2-5-1,119.8,,,,,5,Sweet Cassiopeia,7.4,4.8,,,4,Ms Anna Destiny,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,6-5,42.8,5-2,43.4,5,Maybelle Slew,4.6,3.6,10.6,2,Miss Dora,5.0,3.6,5-2-6-3,893.2,6,Sister Genevra,5.4,,,5-4,19.4,4-3,9.0,4,More Than Beauty,2.2,2.1,3.6,6-5-4,111.4,3,Angie's Prim Lady,2.6,2.2,,,5,Indian Run,2.2,,,4-6,13.0,,,6,Montford Park,4.0,2.8,7.8,5-4-6,108.2,6/7-5-2/4-6,529.4,3,Bolting Brown,3.8,2.8,,,5,Here Comes Romeo,3.0,,,6-1,15.0,1-5,12.4,1,Set The Sail,2.6,2.1,3.6,4-6-1,37.2,5,Key To Power,4.2,2.4,,,2,Joinem,2.1,,,1-6,5.8,6-4,76.8,6,Launch Commander,2.4,2.1,2.8,6-1-6,28.8,4,Our Noble Heart,11.8,5.6,,,9,Bullzaboy,3.0,,,6-2,11.4,,,2,Arctic Slope,4.0,3.2,6.6,1-6-2,18.8,6-1/4/8-1/5/6-2,87.8,3,Chas's Legacy,7.4,5.6,,,6,Overton Square,11.6,,,2-5,16.0,5-3,17.6,5,Delightful Magic,3.0,2.6,4.4,6-2-5,33.0,3,Honchis'n Ponchis,4.2,3.2,,,8,Sassy Kiss,3.2,,,,,,,8,Prescott Brown,5.2,4.0,11.4,5-1-8,297.0,2-5/6-1-8,1118.2,1/5/6-2-5/6-1-8,498.1,10,Teleconference,6.2,5.2,,,1,Alert And Perky,7.2,,,2013-09-14
,,,,,,,,6-3,36.2,6,With Excellence,2.6,2.4,3.4,3,Slew Water Slew,6.6,4.2,,,5,Dowooper,3.8,6-3-5,112.8,,,,,2,Whyprolongtheagony,4.8,3.4,7.8,10-6-2,132.2,4-10-1/5/6-2/11,288.8,7-4-10-1/5/6-2/11,626.8,7,Stash The Cat,8.2,5.0,,,4,Ship To Shore,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6-5,54.0,5-1,61.0,5,Froggyville,9.6,5.4,29.6,,Homeboykris,3.2,2.4,5-1-2-4,617.4,2,Ya Gotta Have Soul,3.4,,,5-5,103.8,5-6,14.6,5,Call Pat,3.2,2.4,6.0,6-5-5,375.8,6,Immortal Fame,3.0,2.2,,,4,She'll Get Even,2.8,,,5-5,53.2,,,5,Burn The Mortgage,6.4,3.2,16.0,5-5-5,820.2,4/6-5-5-5,2193.6,1,Monastic,3.6,2.4,,,3,Film Making,2.2,,,5-1,77.0,1-4,16.6,1,Majestique,3.0,2.8,8.0,5-5-1,269.0,4,Lady Spencer,2.2,2.1,,,3,Smarty Party,3.6,,,1-7,102.0,7-3,59.6,7,Clever Beauty,6.0,3.2,19.8,5-1-7,667.2,3,Cassatt,2.6,2.1,,,8,Harlan's Special,2.1,,,7-4,61.0,,,4,Hazards Of Love,2.8,2.1,5.6,1-7-4,286.8,5-1-7-4,1838.0,2,Gospel Lesson,2.8,2.1,,,5,Banjammer,2.4,,,4-10,52.2,10-8,119.2,10,Plug Catcher,9.2,5.4,18.6,7-4-10,651.4,8,Standpoint,6.6,4.2,,,5,Wizardly,3.8,,,10-6,32.0,6-4,16.2,6,Googleado (arg),2.4,2.2,3.0,4-10-6,96.6,,,,,4,So Raise Yourglass,4.2,3.2,,,9,Officer Griffin,5.6,,,2013-09-20
,,,,,,,,7-8,50.6,7,Kittty Kat Karly,4.4,2.8,7.8,5,Two Steppin' Tango,,2.2,7-8-5-6,473.8,6,G G's Girl,,7-8-5,165.6,7-1,101.4,1-5,11.6,1,Sky Girl,2.6,2.2,3.8,5-7-1,1729.4,,,,,5,Irish Lute,3.2,2.6,,,8,Elusive Fate,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,7-5,59.8,5-7,32.6,5,Cookie,3.8,2.6,15.4,7,Splurgess,2.4,2.1,5-7-4-2,322.2,4,Ginny's Grey,2.4,,,5-3,62.2,3-4,51.2,3,Turbalo,6.4,4.0,20.0,7-5-3,893.6,4,Gamekeeper,2.8,2.2,,,2,Touched The Clouds,3.0,,,3-2,91.0,,,2,Wild Target,4.0,3.2,8.2,5-3-2,488.6,7-5-3-2,3353.0,6,Alaco Castle,4.4,3.6,,,1,Grand Traverse,4.6,,,2-11,74.4,11-5,49.6,11,Matuszak,4.4,3.0,7.8,3-2-11,403.0,5,Long Station,4.8,3.0,,,6,Ring Weekend,3.8,,,11-4,116.4,4-7,152.4,4,Quiet Man,11.6,5.8,34.2,2-11-4,1297.0,7,Voodoo Storm,4.8,4.2,,,3,Small Town Talk,4.4,,,4-5,322.8,,,5,Phish Fan,6.8,5.4,17.6,11-4-5,1332.0,2-11-4-5,22262.2,2,Caliparty,4.0,3.0,,,8,Chalybeate Springs,3.2,,,5-7,329.8,7-4,1223.8,7,Elitism,21.8,12.8,57.4,4-5-7,48371.6,4,Not Again Nancye,31.0,10.8,,,2,Assets Of War,6.0,,,,,,,5,Bread And Butter,4.4,3.0,6.2,7-1-5,420.8,5-7-1/2/4/9-1/5,4751.4,4-5-7-1/2/4/9-1/5,712.9,6,Playful Love,13.6,7.4,,,11,Sugar Pie,6.0,,,2013-09-21
,,,,,,,,6-3,26.8,6,Zantastical,3.0,2.2,5.0,3,Wordly Dreamer,4.2,3.2,6-3-5-1,997.2,5,Kodiak Syd,3.4,6-3-5,120.4,5-5,25.6,5-3,26.4,5,Another Trick,3.8,2.8,7.4,,,,,,,3,Miss Ziggy,3.6,2.8,5-3-6-13,1836.6,6,Sluiceway,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6-2,40.2,2-5,48.4,2,Reach For The Sky,6.0,3.8,13.2,5,Thingamajigger,3.2,2.6,2-5-4-1,466.8,4,Mind Me Boys,2.1,,,2-10,72.4,10-3,71.6,10,Brass Set,6.0,3.8,11.4,,,3,Tyler T,6.2,4.4,10-3-7-5,1551.6,7,Mawhinney,6.0,,,10-7,122.2,7-6,70.8,7,Double Rah Rah,8.2,4.2,20.8,,,,,6,Belief System,3.4,2.6,7-6-5-2,1098.0,5,Musicinthehouse,7.2,,,7-6,68.4,6-9,20.8,6,Is It True Ma'am,3.4,3.4,7.0,,,9,Tamazula Rose,3.0,2.6,6-9-11-7,574.2,11,Grace And Grit,5.2,,,6-3,32.4,3-7,34.4,3,Layton Register,3.2,2.4,6.4,,,7,March Reward,4.6,3.8,3-7-1-8,967.2,1,Federal Agent,2.8,,,3-10,85.0,10-2,59.4,10,Son Tsar,6.8,4.8,23.4,,,,,2,Scandalo,3.0,2.4,10-2-6-12,2835.4,6,Argumental,3.2,,,10-2,73.2,2-9,16.0,2,Side Street,2.8,2.2,4.0,,,9,Canaryinacoalmine,3.4,3.0,2-9-1-5,589.8,1,Lucky Black,6.2,,,2-5,15.6,5-10,124.8,5,Poetic Kid,3.6,3.0,5.0,,,,,,,10,Strong Willed Lady,21.2,8.4,5-10-6-4,3760.8,6,Ultimate Class,4.4,,,2013-09-27
,,,,,,,,4-1,32.2,4,Galloping Domino,3.8,3.0,5.0,1,Starmy,6.2,5.8,4-1-6-5,758.2,6,La Grenouille,7.6,4-1-6,242.0,3-7,705.2,7-1,709.6,7,Sultry Warrior,26.6,10.4,104.4,,,,,,,1,Renards Lapin,4.2,3.0,7-1-8-5,50392.6,8,Peace Talk,3.4,7-8,542.0,8-9,24.0,8,Our Noble Heart,4.0,2.6,6.8,,,,,,,9,Fiji Star (arg),3.6,2.8,8-9-1-6,620.0,1,Song Of Life,4.6,,,4-6,26.0,6-1,17.8,6,Miss Gigi,3.2,2.4,9.2,1,With Excellence,2.4,2.1,6-1-5-2,241.6,5,La Stupenda,2.6,,,6-5,18.2,5-7,22.4,5,Purple Sky,2.4,2.1,3.4,,,7,Commanding Curve,6.8,3.0,5-7-4-8,252.4,4,Fire Starter,2.6,,,5-5,47.4,5-6,56.4,5,Billy Two Hats,6.8,3.8,22.6,,,,,6,Red Maserati,2.8,2.2,5-6-3-2,868.8,3,Be Brave,2.8,,,5-8,124.4,8-3,47.4,8,Drogue,5.2,4.0,11.0,,,3,Positively,4.0,3.4,8-3-5-2,9533.4,5,Mean Marine,8.0,,,8-11,28.0,11-10,150.0,11,Jubilant Vision,4.2,3.6,5.4,,,10,My Dear Regina,16.0,13.2,11-10-4-2,28211.2,4,Taketheodds,14.2,,,11-5,7.8,5-2,10.6,5,Fort Larned,2.2,2.1,2.6,,,,,2,Windswept,4.4,3.6,5-2-6-7,272.6,6,Worldly,6.0,,,5-5,7.8,5-1,22.0,5,General Election,3.4,2.4,6.2,,,1,Redwood Kitten,3.2,2.4,5-1-8-6,222.8,8,Gentleman's Kitten,3.0,,,5-3,27.2,3-5,24.0,3,Strike One,3.4,2.8,8.2,,,,,,,5,Big Lute,2.8,2.8,3-5-6-7,1412.6,6,Liberal Spin,5.4,,,2013-09-28
,,,,,,,,8-2,16.4,8,Something Blue,2.8,2.4,3.6,2,Granny Grump,6.8,3.8,8-2-7-6,115.0,7,Housewife,3.2,8-2-7,47.4,4-12,25.2,12-9,24.0,12,Defer Heaven,3.4,3.2,5.0,,,,,,,9,Kenny's Lake,6.0,4.8,12-9-13-2,1922.0,13,Tenacious Tiger,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8-4,46.0,4-2,70.4,4,Wild Streak,7.0,3.8,19.4,2,Top Knot,3.0,2.4,4-2-5-10,777.4,5,Cotten Alley,2.8,,,4-5,168.4,5-6,105.8,5,Slew Water Slew,6.6,4.4,15.2,,,6,Added Delight,8.0,4.6,5-6-13-2,2406.4,13,Prettygood And You,3.6,,,5-8,72.0,8-6,56.8,8,School Mascot,4.8,3.0,8.2,,,,,6,Midnight Flute,10.0,5.2,8-6-4-5,2727.4,4,Gunner Gal,7.8,,,8-8,30.4,8-3,10.2,8,Double Rah Rah,2.4,,5.2,5-8-8,322.8,3,Beer Garden,2.1,,,,12,Motor City,,,,8-1,33.0,1-5,20.4,1,Bad Student,3.2,2.4,7.6,,,5,Ship To Shore,2.6,2.1,1-5-10-4,742.4,10,Kenrado,3.4,,,1-8,96.8,8-9,49.2,8,Moon Back More,6.6,4.4,19.6,,,,,9,Air Squadron,3.2,2.4,8-9-3-1,1326.2,3,Royal Warrior,3.2,,,8-5,87.8,5-2,14.0,5,Knights Nation,2.8,2.2,7.2,,,2,Wings Of Fortune,2.4,2.1,,,1,City Connect,3.0,5-2-1,40.4,5-4,37.4,4-3,43.8,4,Lady Diva Ga Ga,4.6,3.0,10.2,,,,,,,3,Amie's Dini,6.4,3.6,4-3-1-6,500.0,1,Remember Then,2.4,,,2013-10-30
,,,,,,,,1-2,43.0,1,Gettem Up Girl,8.4,4.0,19.6,2,Maybelle Slew,3.4,2.2,1-2-3-5,487.2,3,Another Trick,4.0,1-2-3,162.0,7-8,82.4,8-12,136.8,8,Expensive Candy,7.2,4.8,23.8,,,,,,,12,Optionality,4.2,3.6,8-12-9-7,6365.2,9,Perfect Prince,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,154.8,2-5,62.2,2,Evan's Calling,7.8,3.4,13.4,5,Majestic Bay,5.4,3.0,2-5-8-4,223.4,8,Midnite Poppa,2.1,,,2-10,54.8,10-2,13.0,10,Brezing Rain,2.6,2.2,4.6,,,2,Sweetonrich,2.6,2.2,10-2-4-9,77.6,4,Dandy Deal,2.6,,,10-1,12.8,1-8,12.8,1,Honey Lake,2.4,2.1,4.2,,,,,8,Lisvernane,3.2,2.8,1-8-6-5,61.8,6,Tree Hugger,2.4,,,1-3,35.8,3-4,32.0,3,Sharp Finnish,5.4,3.0,11.0,,,4,Ouiser,3.0,2.1,3-4-1-7,395.2,1,Jumping Justice,2.1,,,3-3,185.0,3-2,183.2,3,Perfect Setting,15.2,8.0,33.4,,,2,K B Biorhythms,5.0,4.0,3-2-11-7,40369.8,11,Maybe Lily,12.2,,,3-10,474.2,10-9,91.6,10,Fib,6.2,4.6,12.8,,,,,9,Bella Figlia,11.4,7.0,10-9-5-8,1249.8,5,Georgette Fortune,5.6,,,10-10,34.2,10-8,35.4,10,Daddy's Memory,3.8,2.2,5.4,,,8,Opposite Day,7.4,3.2,10-8-9-6,463.4,9,Any Day Now,3.6,,,10-7,43.6,7-2,29.2,7,Our Double Play,4.4,3.8,11.0,,,,,,,2,Bourbon Courage,3.2,2.4,,,,Nicklaus Way,3.0,7-2-1,80.0,2013-10-31
,,,,,,,,4-3,15.0,4,Phat Day,2.6,2.1,3.6,3,Glint,4.2,3.2,4-3-5-7,235.0,5,Ivy Connection,3.6,4-3-5,74.4,6-2,155.4,2-11,902.8,2,Dynamic Knight,13.8,9.0,24.8,,,,,,,11,Kentucky Lightnin,34.8,20.6,2-11-12-9,51386.4,12,Bullzaboy,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4-7,6.2,7-4,4.6,7,Southern Dude,,,2.8,4,Next Speaker,,,,,2,Expecting Cash,,,,7-8,43.6,8-6,484.2,8,Deemie,9.4,5.2,20.4,,,6,Mrs Mcgowan,23.8,11.0,8-6-9-1,31846.2,9,Molly Z,2.8,,,8-14,339.6,14-7,114.2,14,Thanks Bro,5.2,5.0,9.8,,,,,7,Coronate,9.0,8.2,14-7-6-10,25929.0,6,Scott Man,18.6,,,14-5,118.4,5-1,193.0,5,Son Of Dixie,7.2,6.4,16.6,,,1,Buck Magic,14.2,9.6,5-1-4-8,37023.4,4,Quick Indian,16.6,,,5-11,39.2,11-10,8.4,11,Hazards Of Love,2.4,2.1,3.2,,,10,Bold Choice,3.4,2.4,11-10-3-12,52.8,3,Noble Doss,2.4,,,12-7,84.6,7-3,31.8,7,Ms Anna Destiny,4.8,3.0,11.4,,,,,3,Vuitton,3.0,2.1,7-3-5-8,486.8,5,Jan's Perfect Star,3.6,,,7-6,115.6,6-9,72.0,6,Grit And Grace,6.8,4.4,17.6,,,9,Sanaaya,4.4,3.8,6-9-8-1,2428.8,8,Rockport Honey,6.2,,,6-2,155.4,2-11,902.8,2,Dynamic Knight,13.8,9.0,24.8,,,,,,,11,Kentucky Lightnin,34.8,20.6,2-11-12-9,51386.4,12,Bullzaboy,4.8,,,2013-11-01
,,,,,,,,4-3,14.2,4,Clear The Clover,2.6,2.1,3.8,3,Little Ariel,4.4,2.4,,,5,Ariadna,2.1,4-3-5,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-1,8.8,1-6,10.6,1,He's Dangerous,2.2,2.1,3.0,6,Artillery,3.2,2.4,,,5,Rip And Roll,2.4,1-6-5,21.0,1-3,3.4,3-6,5.4,3,Wild Swava,2.1,2.1,2.4,,,6,Lady Susan,2.8,2.2,3-6-1-7,50.4,1,Top Tier Lass,3.0,,,3-6,6.6,6-3,25.2,6,Dyker Beach,3.0,2.2,4.8,,,,,3,Silent Ruler,5.4,2.6,6-3-2-5,626.8,2,Sconnie Nation,2.8,,,6-8,39.4,8-2,69.0,8,Tully's Dreamer,7.6,4.0,21.0,,,2,Kerisma,3.8,2.4,8-2-6-3,730.8,6,Tomei,2.6,,,8-4,88.6,4-6,49.2,4,Lent,4.0,2.2,6.6,,,6,Serendip,8.6,3.2,4-6-7-5,529.6,7,Full Dancer,2.4,,,4-4,36.6,4-1,22.2,4,Bailoutbobby,3.0,2.4,7.0,,,,,1,Flattermejim,2.4,2.2,4-1-5-2,429.4,5,English Council,3.2,,,4-1,50.8,1-7,175.6,1,Cary Street,4.8,3.4,8.4,,,7,Succesful Brothers,17.0,5.6,1-7-6-3,3053.4,6,Northern Lion,3.4,,,1-5,29.4,5-4,30.6,5,Maybe Lily,3.2,2.6,6.4,,,,,,,4,True Kinection,6.2,3.2,5-4-8-3,1054.4,8,Ms. Zenergy,3.2,,,2014-05-08
,,,,,,,,1-2,19.8,1,Another Blue,2.2,2.1,2.8,2,Devilish Reason,6.2,3.6,1-2-4-3,183.6,4,Cat With A Twist,2.4,1-2-4,76.0,4-9,157.0,9-5,191.4,9,Villandry,8.6,5.2,15.8,,,,,,,5,Strike One,13.2,6.8,9-5-7-8,4804.8,7,Grand Arch,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,18.8,1-3,24.8,1,Calbo,3.8,3.0,7.2,3,Why Pretend,3.2,2.4,1-3-7-6,137.6,7,On Lockdown,3.0,,,1-5,27.8,5-4,14.0,5,Gold Medal Dancer,2.6,2.1,5.2,,,4,Vuitton,3.0,2.2,,,3,Hitechnoweenie,2.6,5-4-3,48.8,5-5,13.8,5-6,7.2,5,Baumgartner,2.6,2.4,4.6,,,,,6,Tyler T,2.4,2.1,,,7,Bull Gato,3.0,5-6-7,31.4,5-3,35.6,3-6,94.2,3,Greek Life,6.4,2.8,12.2,,,6,St. Louie Slew,7.2,3.2,3-6-2-5,962.8,2,Love My Life,2.2,,,3-4,37.0,4-7,20.0,4,Cinco Charlie,3.0,2.6,5.0,,,7,Far Right,4.0,3.0,4-7-3-6,220.6,3,To Be Determined,4.0,,,4-5,9.0,5-1,20.4,5,Kamchatka,2.4,2.1,3.4,,,,,1,A Better Tomorrow,6.6,4.0,5-1-2-8,162.4,2,Argumental,2.8,,,5-6,34.6,6-4,80.6,6,Justanewkidintown,7.8,4.4,18.2,,,4,Morning Star,3.8,3.2,6-4-3-8,1802.6,3,Slews Golden Rule,6.2,,,6-4,182.8,4-5,194.8,4,She's Got Swag,9.2,4.4,18.6,,,,,,,5,Let It Snow,10.8,5.0,4-5-6-1,2067.6,6,Marathon Lady,2.1,,,2014-05-09
