Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
20.0,New Orleans,Joseph Trotot,"New Orleans, LA",LA,11/20/1857,0.00602698,M,James Harrod,2,0,2,Cash,0.07477,1350.0,2,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,Negro
10.0,New Orleans,Gustave Ducros,"New Orleans, LA",LA,11/23/1857,0.00602698,F,Lucinda,1,0,1,Cash,0.07477,700.0,1,New Orleans,Constantine B. Beverley,"New Orleans, LA",LA,Mulatto
40.0,New Orleans,David Lockhart,"New Orleans, LA",LA,11/21/1857,0.00602698,F,Clemence,1,0,1,Cash,0.07477,425.0,1,Iberville ,George Troxler,"Iberville , LA",LA,Negro
23.0,New Orleans,John George Weber,"New Orleans, LA",LA,11/23/1857,0.005732077,M,Dennis,2,0,2,Cash and Credit,0.07099544,3000.0,1,New Orleans,Antoine Beynet,"New Orleans, LA",LA,Negro
19.0,New Orleans,Myron Hubbard Church,"New Orleans, LA",LA,11/17/1857,0.00602698,F,Louise,1,0,1,Cash,0.07477,1100.0,1,New Orleans,Henry Arthur Kingston,"New Orleans, LA",LA,Negro
12.0,New Orleans,William C. Auld,"New Orleans, LA",LA,11/23/1857,0.00602698,M,Justin,1,0,1,Cash,0.07477,700.0,1,Jackson,Benjamin Meyers,"Jackson, MS",MS,Negro
52.0,New Orleans,Peter Doriocourt,"New Orleans, LA",LA,11/25/1857,0.006202525,F,Francoise,1,0,1,Credit,0.07702264,100.0,1,New Orleans,Joseph Santo Domingo,"New Orleans, LA",LA,Unknown
40.0,New Orleans,Thomas Pike Dunn,"New Orleans, LA",LA,11/17/1857,0.006056261,F,Margaret,1,0,1,Credit,0.07514544,700.0,1,New Orleans,Myron Hubbard Church,"New Orleans, LA",LA,Negro
10.0,New Orleans,Andre Dubuch,"New Orleans, LA",LA,12/13/1857,0.005790818,F,Henriette,1,0,1,Cash and Credit,0.07174632,700.0,1,New Orleans,Louis Theodore Deneufbourg,"New Orleans, LA",LA,Mulatto
24.0,Washington ,Montgomery & Kirk Unknown,"Washington , MS",MS,12/31/1857,0.00602698,M,George,1,0,1,Cash,0.07477,1250.0,1,New Orleans,John B. Womack,"New Orleans, LA",LA,Negro
21.0,Washington ,Montgomery & Kirk Unknown,"Washington , MS",MS,12/31/1857,0.00602698,M,Bob,5,0,5,Cash,0.07477,1250.0,5,Davie ,John W. Hall,"Davie , NC",NC,Negro
22.0,DeSoto,David A. Blacksher,"DeSoto, LA",LA,12/31/1857,0.005922849,M,Mat,14,0,14,Cash and Credit,0.0734358,900.0,14,New Orleans,Nelson Clement Trowbridge,"New Orleans, LA",LA,Yellow
18.0,Natchitoches ,Alexis Cloutier,"Natchitoches , LA",LA,12/31/1857,0.00587886,F,Louisa,1,1,2,Cash and Credit,0.07287264,1300.0,1,Richmond,Jeremiah Smith,"Richmond, VA",VA,Negro
