Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
226.0,246.0,235.9,Alabama,2203,176.1,191.5,183.7,Mortality,1199192,Black,Male and Female,2004
467.7,495.3,481.3,Alabama,4839,388.7,411.3,399.9,Incidence,1210020,Black,Male and Female,2005
226.4,246.1,236.1,Alabama,2267,179.7,195.2,187.4,Mortality,1210020,Black,Male and Female,2005
447.0,473.7,460.2,Alabama,4770,376.7,398.8,387.6,Incidence,1230534,Black,Male and Female,2006
215.9,235.0,225.3,Alabama,2225,173.4,188.5,180.8,Mortality,1230534,Black,Male and Female,2006
455.4,482.0,468.5,Alabama,4985,389.7,412.0,400.8,Incidence,1243867,Black,Male and Female,2007
224.6,243.9,234.1,Alabama,2354,181.7,197.1,189.2,Mortality,1243867,Black,Male and Female,2007
462.2,473.9,468.0,Alabama,26155,407.0,417.0,411.9,Incidence,6349220,Black,Male and Female,2009
219.2,227.5,223.3,Alabama,11523,179.9,186.6,183.3,Mortality,6287968,Black,Male and Female,2009
473.7,500.6,487.0,Alabama,5301,409.7,432.5,421.0,Incidence,1259177,Black,Male and Female,2008
215.8,234.6,225.0,Alabama,2323,177.1,192.1,184.5,Mortality,1259177,Black,Male and Female,2008
465.8,492.3,478.9,Alabama,5340,408.9,431.5,420.1,Incidence,1271247,Black,Male and Female,2009
214.6,233.2,223.7,Alabama,2350,177.5,192.5,184.9,Mortality,1271247,Black,Male and Female,2009
446.0,471.6,458.7,Alabama,5274,400.1,422.4,411.2,Incidence,1282716,Black,Male and Female,2010
200.8,218.7,209.6,Alabama,2271,169.8,184.4,177.0,Mortality,1283143,Black,Male and Female,2010
436.1,461.2,448.5,Alabama,5255,395.7,417.8,406.7,Incidence,1292213,Black,Male and Female,2011
200.8,218.7,209.6,Alabama,2271,169.8,184.4,177.0,Mortality,1283143,Black,Male and Female,2011
0,0,0,Alabama,0,0,0,0,Mortality,28101,Hispanic,Female,1999
106.5,228.2,159.5,Alabama,32,66.0,136.3,96.5,Incidence,33147,Hispanic,Female,2000
0,0,0,Alabama,0,0,0,0,Mortality,33147,Hispanic,Female,2000
145.8,284.1,207.3,Alabama,42,81.7,153.3,113.4,Incidence,37034,Hispanic,Female,2001
0,0,0,Alabama,0,0,0,0,Mortality,37034,Hispanic,Female,2001
197.1,354.2,268.1,Alabama,52,95.2,167.1,127.4,Incidence,40803,Hispanic,Female,2002
0,0,0,Alabama,0,0,0,0,Mortality,40803,Hispanic,Female,2002
105.1,209.8,151.2,Alabama,41,65.5,123.8,91.3,Incidence,44927,Hispanic,Female,2003
0,0,0,Alabama,0,0,0,0,Mortality,44927,Hispanic,Female,2003
146.4,272.0,202.7,Alabama,50,75.1,133.5,101.2,Incidence,49391,Hispanic,Female,2004
0,0,0,Alabama,0,0,0,0,Mortality,49391,Hispanic,Female,2004
163.9,295.5,223.4,Alabama,54,74.2,128.9,98.8,Incidence,54647,Hispanic,Female,2005
0,0,0,Alabama,0,0,0,0,Mortality,54647,Hispanic,Female,2005
151.3,272.7,206.1,Alabama,58,73.0,124.2,96.1,Incidence,60364,Hispanic,Female,2006
0,0,0,Alabama,0,0,0,0,Mortality,60364,Hispanic,Female,2006
149.0,268.5,203.1,Alabama,61,70.3,118.0,91.9,Incidence,66377,Hispanic,Female,2007
47.2,124.2,79.8,Alabama,22,20.8,50.2,33.1,Mortality,66377,Hispanic,Female,2007
188.4,237.2,211.9,Alabama,389,91.5,111.9,101.3,Incidence,384119,Hispanic,Female,2009
42.3,70.2,55.1,Alabama,73,15.9,25.6,20.3,Mortality,359043,Hispanic,Female,2009
203.6,326.9,260.3,Alabama,94,105.1,159.2,130.1,Incidence,72259,Hispanic,Female,2008
0,0,0,Alabama,0,0,0,0,Mortality,72259,Hispanic,Female,2008
