amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
1534.08,1534.08,0.0,genre fiction,7670.4,Berkley,4602.24,7.99,108,Penguin Group (USA) LLC,0,big five,960
1222.3575,658.1925,4.38,genre fiction,1880.55,Montlake Romance,0.0,1.99,111,"Amazon Digital Services,  Inc.",93,amazon,945
938.12,938.12,4.37,genre fiction,4690.6,St. Martin's Press,2814.36,4.99,112,Macmillan,901,big five,940
746.13,746.13,4.0,genre fiction,3730.65,InterMix,2238.39,3.99,113,Penguin Group (USA) LLC,208,big five,935
1202.955,647.745,4.19,genre fiction,1850.7,(Indie Publisher),0.0,1.99,114,"Amazon Digital Services,  Inc.",87,indie,930
1196.0,1196.0,4.64,genre fiction,5980.0,(Small or Medium Publisher),3588.0,6.5,116,"Amazon Digital Services,  Inc.",13290,small/medium,920
181.17,181.17,4.33,genre fiction,905.85,Loveswept,543.51,0.99,117,Random House LLC,24,big five,915
1551.84,1551.84,3.82,fiction,7759.2,(Small or Medium Publisher),4655.52,8.48,117,"Amazon Digital Services,  Inc.",388,small/medium,915
585.585,315.315,4.84,genre fiction,900.9,(Indie Publisher),0.0,0.99,118,"Amazon Digital Services,  Inc.",197,indie,910
179.19,179.19,4.68,genre fiction,895.95,(Single-Author Publisher),537.57,0.99,119,"Amazon Digital Services,  Inc.",219,single author,905
579.15,311.85,4.3,genre fiction,891.0,(Indie Publisher),0.0,0.99,120,"Amazon Digital Services,  Inc.",20,indie,900
1168.2,1168.2,4.32,nonfiction,5841.0,Henry Holt and Co.,3504.6,6.49,120,Macmillan,4549,big five,900
2146.21,2146.21,4.24,nonfiction,10731.05,Knopf,6438.63,11.99,121,Random House LLC,384,big five,895
798.33,1862.77,5.0,genre fiction,2661.1,(Indie Publisher),0.0,2.99,122,"Amazon Digital Services,  Inc.",39,indie,890
354.22,354.22,4.23,fiction,1771.1,HarperCollins e-books,1062.66,1.99,122,HarperCollins Publishers,152,big five,890
1059.345,2471.805,4.61,genre fiction,3531.15,(Indie Publisher),0.0,3.99,123,"Amazon Digital Services,  Inc.",218,indie,885
1305.0,1305.0,4.58,genre fiction,6525.0,Scribner,3915.0,7.5,126,Simon and Schuster Digital Sales Inc,4938,big five,870
1035.405,2415.945,4.49,genre fiction,3451.35,(Indie Publisher),0.0,3.99,127,"Amazon Digital Services,  Inc.",100,indie,865
1374.28,1374.28,4.29,genre fiction,6871.4,Vintage,4122.84,7.99,128,Random House LLC,9263,big five,860
168.3,168.3,0.0,genre fiction,841.5,(Single-Author Publisher),504.9,0.99,130,"Amazon Digital Services,  Inc.",0,single author,850
2026.31,2026.31,4.34,genre fiction,10131.55,"Little, Brown and Company",6078.93,11.99,131,Hachette Book Group,20,big five,845
1342.32,1342.32,4.28,genre fiction,6711.6,Vintage,4026.96,7.99,132,Random House LLC,9263,big five,840
530.8875,285.8625,4.04,genre fiction,816.75,(Indie Publisher),0.0,0.99,135,"Amazon Digital Services,  Inc.",234,indie,825
328.35,328.35,4.31,nonfiction,1641.75,Harper,985.05,1.99,135,HarperCollins Publishers,271,big five,825
1139.37,1139.37,4.77,nonfiction,5696.85,Random House,3418.11,6.99,137,Random House LLC,6544,big five,815
726.57,1695.33,4.77,genre fiction,2421.9,(Indie Publisher),0.0,2.99,138,"Amazon Digital Services,  Inc.",61,indie,810
1714.65,1714.65,4.16,genre fiction,8573.25,Putnam Adult,5143.95,10.65,139,Penguin Group (USA) LLC,251,big five,805
957.6,2234.4,4.78,genre fiction,3192.0,(Indie Publisher),0.0,3.99,140,"Amazon Digital Services,  Inc.",1325,indie,800
158.4,158.4,4.87,genre fiction,792.0,(Small or Medium Publisher),475.2,0.99,140,"Amazon Digital Services,  Inc.",221,small/medium,800
951.615,2220.435,4.79,genre fiction,3172.05,(Indie Publisher),0.0,3.99,141,"Amazon Digital Services,  Inc.",78,indie,795
314.42,314.42,3.4,nonfiction,1572.1,(Small or Medium Publisher),943.26,1.99,142,"Amazon Digital Services,  Inc.",5,small/medium,790
1882.43,1882.43,0.0,genre fiction,9412.15,Putnam Adult,5647.29,11.99,143,Penguin Group (USA) LLC,0,big five,785
933.66,2178.54,5.0,genre fiction,3112.2,(Indie Publisher),0.0,3.99,144,"Amazon Digital Services,  Inc.",31,indie,780
1653.85,1653.85,0.0,genre fiction,8269.25,Margaret K. McElderry Books,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,0,big five,775
302.48,302.48,4.04,genre fiction,1512.4,HarperCollins e-books,907.44,1.99,148,HarperCollins Publishers,305,big five,760
903.735,2108.715,4.69,genre fiction,3012.45,(Indie Publisher),0.0,3.99,149,"Amazon Digital Services,  Inc.",225,indie,755
2432.625,1309.875,4.1,genre fiction,3742.5,Montlake Romance,0.0,4.99,150,"Amazon Digital Services,  Inc.",683,amazon,750
1945.125,1047.375,4.28,genre fiction,2992.5,Amazon Publishing,0.0,3.99,150,"Amazon Digital Services,  Inc.",1206,amazon,750
743.51,743.51,4.14,genre fiction,3717.55,Dell,2230.53,4.99,151,Random House LLC,6312,big five,745
590.52,590.52,4.56,genre fiction,2952.6,Tor Books,1771.56,3.99,152,Macmillan,7381,big five,740
472.9725,254.6775,3.72,genre fiction,727.65,(Indie Publisher),0.0,0.99,153,"Amazon Digital Services,  Inc.",81,indie,735
2367.755,1274.945,4.35,genre fiction,3642.7,Montlake Romance,0.0,4.99,154,"Amazon Digital Services,  Inc.",119,amazon,730
1088.95,1088.95,4.17,genre fiction,5444.75,Broadway Books,3266.85,7.51,155,Random House LLC,1998,big five,725
463.32,249.48,4.31,genre fiction,712.8,(Indie Publisher),0.0,0.99,156,"Amazon Digital Services,  Inc.",203,indie,720
456.885,246.015,4.29,genre fiction,702.9,(Indie Publisher),0.0,0.99,158,"Amazon Digital Services,  Inc.",1106,indie,710
139.59,139.59,4.17,genre fiction,697.95,(Small or Medium Publisher),418.77,0.99,159,"Amazon Digital Services,  Inc.",204,small/medium,705
1118.6,1118.6,3.6,genre fiction,5593.0,Reagan Arthur Books,3355.8,7.99,160,Hachette Book Group,1783,big five,700
270.64,270.64,4.34,genre fiction,1353.2,HarperCollins e-books,811.92,1.99,164,HarperCollins Publishers,102,big five,680
133.65,133.65,4.11,nonfiction,668.25,(Small or Medium Publisher),400.95,0.99,165,"Amazon Digital Services,  Inc.",9,small/medium,675
735.66,735.66,4.35,genre fiction,3678.3,(Small or Medium Publisher),2206.98,5.49,166,"Amazon Digital Services,  Inc.",14,small/medium,670
131.67,131.67,4.42,genre fiction,658.35,(Small or Medium Publisher),395.01,0.99,167,"Amazon Digital Services,  Inc.",101,small/medium,665
1562.88,1562.88,0.0,genre fiction,7814.4,Ballantine Books,4688.64,11.84,168,Random House LLC,0,big five,660
421.4925,226.9575,4.5,genre fiction,648.45,(Indie Publisher),0.0,0.99,169,"Amazon Digital Services,  Inc.",10,indie,655
1963.69,1963.69,4.3,genre fiction,9818.45,Vintage,5891.07,14.99,169,Random House LLC,8339,big five,655
2108.275,1135.225,4.42,genre fiction,3243.5,Skyscape,0.0,4.99,170,"Amazon Digital Services,  Inc.",1505,amazon,650
583.05,1360.45,4.29,genre fiction,1943.5,(Indie Publisher),0.0,2.99,170,"Amazon Digital Services,  Inc.",96,indie,650
