amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
158.4,158.4,4.87,genre fiction,792.0,(Small or Medium Publisher),475.2,0.99,140,"Amazon Digital Services,  Inc.",221,small/medium,800
951.615,2220.435,4.79,genre fiction,3172.05,(Indie Publisher),0.0,3.99,141,"Amazon Digital Services,  Inc.",78,indie,795
314.42,314.42,3.4,nonfiction,1572.1,(Small or Medium Publisher),943.26,1.99,142,"Amazon Digital Services,  Inc.",5,small/medium,790
1882.43,1882.43,0.0,genre fiction,9412.15,Putnam Adult,5647.29,11.99,143,Penguin Group (USA) LLC,0,big five,785
933.66,2178.54,5.0,genre fiction,3112.2,(Indie Publisher),0.0,3.99,144,"Amazon Digital Services,  Inc.",31,indie,780
1653.85,1653.85,0.0,genre fiction,8269.25,Margaret K. McElderry Books,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,0,big five,775
302.48,302.48,4.04,genre fiction,1512.4,HarperCollins e-books,907.44,1.99,148,HarperCollins Publishers,305,big five,760
903.735,2108.715,4.69,genre fiction,3012.45,(Indie Publisher),0.0,3.99,149,"Amazon Digital Services,  Inc.",225,indie,755
2432.625,1309.875,4.1,genre fiction,3742.5,Montlake Romance,0.0,4.99,150,"Amazon Digital Services,  Inc.",683,amazon,750
1945.125,1047.375,4.28,genre fiction,2992.5,Amazon Publishing,0.0,3.99,150,"Amazon Digital Services,  Inc.",1206,amazon,750
743.51,743.51,4.14,genre fiction,3717.55,Dell,2230.53,4.99,151,Random House LLC,6312,big five,745
590.52,590.52,4.56,genre fiction,2952.6,Tor Books,1771.56,3.99,152,Macmillan,7381,big five,740
472.9725,254.6775,3.72,genre fiction,727.65,(Indie Publisher),0.0,0.99,153,"Amazon Digital Services,  Inc.",81,indie,735
2367.755,1274.945,4.35,genre fiction,3642.7,Montlake Romance,0.0,4.99,154,"Amazon Digital Services,  Inc.",119,amazon,730
1088.95,1088.95,4.17,genre fiction,5444.75,Broadway Books,3266.85,7.51,155,Random House LLC,1998,big five,725
463.32,249.48,4.31,genre fiction,712.8,(Indie Publisher),0.0,0.99,156,"Amazon Digital Services,  Inc.",203,indie,720
456.885,246.015,4.29,genre fiction,702.9,(Indie Publisher),0.0,0.99,158,"Amazon Digital Services,  Inc.",1106,indie,710
139.59,139.59,4.17,genre fiction,697.95,(Small or Medium Publisher),418.77,0.99,159,"Amazon Digital Services,  Inc.",204,small/medium,705
