quantity,questions,exclaims,hour,month,day,length
1,2.0,0.0,07,04,04,766
1,1.0,0.0,05,01,05,291
1,0.0,0.0,07,02,01,747
1,0.0,0.0,06,05,00,508
1,0.0,0.0,11,09,01,771
1,0.0,2.0,04,03,03,1950
3,0.0,0.0,08,04,02,1070
1,0.0,0.0,07,02,02,684
1,0.0,0.0,16,06,03,555
1,1.0,3.0,17,09,02,1333
1,2.0,1.0,13,12,03,984
1,0.0,0.0,07,10,01,1201
1,0.0,0.0,13,03,00,788
1,0.0,1.0,06,01,00,644
3,1.0,1.0,07,01,01,611
1,0.0,0.0,13,03,00,1578
1,1.0,3.0,13,06,01,212
1,0.0,0.0,17,03,00,1078
4,0.0,0.0,17,12,05,1046
1,0.0,0.0,09,10,01,141
1,2.0,0.0,06,09,03,284
1,0.0,0.0,10,03,06,202
1,0.0,0.0,12,03,01,1636
1,0.0,0.0,05,07,00,769
1,7.0,2.0,06,10,04,2030
1,1.0,0.0,09,09,03,369
1,0.0,0.0,13,02,06,7168
1,1.0,0.0,10,11,04,801
1,1.0,1.0,03,11,04,498
1,0.0,0.0,09,01,06,766
2,3.0,0.0,13,09,02,1103
1,1.0,1.0,12,01,03,729
1,0.0,2.0,23,03,02,463
1,0.0,0.0,20,01,02,1034
2,0.0,0.0,02,02,04,1137
1,0.0,0.0,08,04,01,1125
1,0.0,1.0,05,01,02,209
1,0.0,0.0,09,05,05,5569
1,7.0,1.0,09,01,01,1960
1,1.0,2.0,09,06,02,3854
1,1.0,0.0,04,03,03,525
1,0.0,0.0,03,03,02,205
1,0.0,0.0,04,07,06,598
4,0.0,0.0,05,09,00,1322
1,2.0,0.0,19,01,03,2358
2,0.0,0.0,07,03,00,604
1,3.0,0.0,11,04,01,984
1,2.0,1.0,16,04,05,1919
2,0.0,0.0,10,12,01,333
1,0.0,0.0,10,03,01,415
1,0.0,1.0,02,02,03,238
1,5.0,1.0,02,07,03,1775
5,1.0,1.0,03,04,06,4817
1,1.0,0.0,11,03,03,264
1,2.0,1.0,09,02,00,467
1,0.0,0.0,02,02,01,818
1,0.0,1.0,06,10,05,664
1,0.0,0.0,07,07,00,332
1,1.0,0.0,07,02,00,944
15,0.0,0.0,04,01,05,295
3,0.0,0.0,10,01,04,833
1,0.0,0.0,03,03,04,361
1,3.0,0.0,03,08,05,537
3,1.0,1.0,16,03,04,1420
1,0.0,0.0,07,10,03,1267
1,0.0,0.0,12,09,00,1042
11,1.0,0.0,23,03,03,233
5,0.0,0.0,09,04,03,115
1,0.0,0.0,13,04,02,1010
1,0.0,1.0,08,08,02,1178
2,3.0,0.0,10,11,01,812
1,0.0,0.0,10,04,00,1318
1,1.0,0.0,01,03,06,1112
1,1.0,4.0,12,10,02,1069
2,0.0,0.0,04,02,02,300
1,0.0,0.0,16,10,01,1340
1,2.0,2.0,10,05,01,2087
1,0.0,0.0,21,03,01,1093
1,0.0,0.0,07,11,03,0
1,0.0,0.0,09,02,02,1029
1,0.0,0.0,12,03,05,443
1,0.0,0.0,11,12,03,751
1,1.0,0.0,05,08,03,340
1,0.0,0.0,14,10,01,397
1,0.0,0.0,02,10,03,234
2,3.0,0.0,07,04,01,642
2,1.0,0.0,03,06,03,1659
1,0.0,0.0,11,10,01,322
1,0.0,0.0,17,04,05,1826
1,0.0,0.0,22,11,00,62
1,1.0,0.0,17,04,04,1013
1,0.0,0.0,13,07,01,2067
1,0.0,1.0,04,08,00,351
1,0.0,1.0,06,01,05,1087
1,0.0,0.0,05,02,01,707
1,0.0,0.0,04,06,04,327
1,3.0,2.0,13,11,06,2031
1,0.0,1.0,13,11,02,471
1,0.0,3.0,06,10,04,763
2,0.0,1.0,04,03,00,1043
1,0.0,0.0,06,04,04,72
1,0.0,0.0,11,05,01,173
1,0.0,0.0,13,02,04,296
1,1.0,0.0,02,02,03,517
1,3.0,0.0,21,12,04,3163
2,0.0,0.0,15,11,00,881
1,0.0,1.0,06,12,00,632
9,1.0,0.0,09,03,06,194
1,0.0,1.0,18,09,04,711
1,1.0,1.0,11,09,02,882
1,0.0,1.0,19,12,01,2813
2,0.0,0.0,04,02,01,921
1,0.0,1.0,08,06,04,1696
1,0.0,0.0,05,02,01,1307
3,1.0,0.0,10,06,00,1130
1,3.0,1.0,10,03,00,3850
3,0.0,0.0,02,05,00,237
1,2.0,1.0,06,10,04,233
1,0.0,0.0,10,02,02,899
9,0.0,0.0,12,10,01,208
1,1.0,1.0,11,02,02,2460
1,0.0,0.0,18,03,01,668
1,0.0,1.0,07,02,02,1877
1,0.0,0.0,06,03,03,340
1,0.0,0.0,03,03,04,326
1,0.0,0.0,05,02,00,555
2,2.0,0.0,09,05,03,733
1,0.0,0.0,10,08,01,856
2,0.0,0.0,10,09,03,352
1,0.0,0.0,11,08,00,1063
1,0.0,0.0,04,02,03,1698
2,0.0,0.0,00,01,01,346
1,0.0,0.0,17,01,02,1151
1,1.0,0.0,09,11,02,726
1,1.0,1.0,02,11,02,925
1,0.0,0.0,15,05,02,174
1,1.0,0.0,13,12,00,277
2,1.0,0.0,08,02,02,701
2,0.0,1.0,02,06,02,627
1,0.0,0.0,08,03,03,129
3,0.0,0.0,02,05,06,396
1,0.0,0.0,12,02,04,685
7,0.0,0.0,20,04,05,2316
1,2.0,0.0,02,08,04,743
1,0.0,0.0,02,09,00,535
14,4.0,0.0,05,03,00,1753
1,0.0,0.0,23,02,05,111
1,0.0,0.0,07,02,04,172
1,0.0,0.0,05,02,04,0
1,4.0,2.0,23,10,02,1682
1,0.0,0.0,21,08,06,2140
1,0.0,1.0,09,01,00,92
1,0.0,5.0,02,02,01,984
1,0.0,1.0,14,03,06,675
2,0.0,0.0,04,04,04,663
1,0.0,0.0,08,11,06,884
1,6.0,0.0,07,06,01,1412
8,1.0,1.0,18,02,05,1205
18,1.0,0.0,05,03,05,249
1,0.0,0.0,15,03,04,562
1,0.0,0.0,08,01,03,1529
1,0.0,0.0,09,06,02,60
1,0.0,1.0,06,02,03,1476
1,0.0,0.0,11,07,04,39
2,0.0,0.0,04,08,04,427
1,0.0,0.0,08,09,00,395
1,3.0,1.0,18,02,01,1446
10,9.0,1.0,12,09,01,993
2,1.0,0.0,14,01,04,1466
1,1.0,0.0,10,02,00,990
3,0.0,0.0,05,04,04,2613
1,2.0,0.0,13,09,05,1812
1,0.0,0.0,04,08,02,248
1,3.0,0.0,10,01,00,836
1,0.0,1.0,03,08,00,3953
1,1.0,0.0,11,05,04,450
1,0.0,0.0,06,12,06,1315
1,0.0,0.0,22,10,01,2416
1,0.0,0.0,06,12,00,634
7,3.0,1.0,04,10,03,1100
1,1.0,0.0,09,04,05,733
1,1.0,0.0,23,03,03,261
2,0.0,0.0,04,05,02,436
1,0.0,0.0,04,12,00,3085
1,16.0,0.0,02,01,05,2278
1,0.0,0.0,23,11,02,117
1,0.0,0.0,04,03,01,5861
1,3.0,0.0,16,10,03,316
2,0.0,0.0,02,10,04,0
1,1.0,0.0,12,08,00,1253
1,0.0,0.0,07,02,04,311
1,0.0,0.0,07,03,00,1777
2,0.0,0.0,07,11,00,1866
3,1.0,0.0,09,10,04,562
1,0.0,2.0,06,10,02,939
1,0.0,0.0,09,03,01,679
2,0.0,0.0,08,01,06,0
1,5.0,1.0,10,08,01,1816
1,0.0,1.0,10,07,03,335
1,6.0,1.0,09,05,01,2207
18,0.0,0.0,07,01,01,547
1,0.0,0.0,08,11,02,648
1,5.0,1.0,23,01,02,1791
2,1.0,1.0,21,06,01,595
1,0.0,0.0,15,10,02,1114
2,0.0,0.0,09,03,05,888
1,0.0,0.0,10,06,01,239
1,1.0,0.0,02,06,02,461
1,0.0,1.0,04,02,01,234
1,1.0,1.0,06,05,00,362
1,0.0,0.0,10,02,02,909
1,0.0,0.0,10,09,02,88
3,8.0,1.0,09,10,04,812
1,1.0,0.0,11,04,04,1870
1,0.0,0.0,00,04,02,507
8,0.0,0.0,09,12,03,894
1,0.0,0.0,06,03,04,546
1,4.0,2.0,08,03,04,1755
1,0.0,0.0,11,10,00,26
1,1.0,0.0,08,06,03,529
11,1.0,0.0,11,11,00,399
1,0.0,1.0,06,06,03,2867
1,0.0,0.0,05,04,05,42
2,0.0,2.0,06,02,03,1558
3,1.0,0.0,01,04,00,996
3,1.0,0.0,08,12,00,1132
1,4.0,1.0,05,11,02,1518
1,0.0,0.0,12,08,04,872
1,0.0,0.0,09,12,04,610
1,2.0,0.0,11,01,00,1910
1,0.0,0.0,09,11,01,1623
1,0.0,0.0,12,02,03,610
1,9.0,0.0,06,05,03,1585
1,0.0,0.0,08,01,05,380
1,0.0,0.0,04,12,00,1263
1,0.0,3.0,15,10,01,1412
1,4.0,0.0,13,03,00,1819
1,1.0,0.0,10,07,02,737
1,0.0,0.0,09,11,00,1740
1,1.0,1.0,13,10,03,973
5,0.0,0.0,08,08,02,0
4,0.0,0.0,05,03,03,121
1,1.0,2.0,11,05,02,2655
1,0.0,0.0,14,02,00,90
1,0.0,0.0,11,09,01,1141
1,0.0,0.0,13,05,01,1672
1,0.0,0.0,17,05,04,362
1,1.0,2.0,08,01,02,3279
1,0.0,0.0,05,12,05,798
1,1.0,1.0,11,07,01,1193
1,0.0,0.0,13,11,06,1154
2,1.0,0.0,05,11,02,2929
8,4.0,0.0,13,06,00,455
1,2.0,0.0,11,07,01,1736
1,1.0,0.0,08,09,03,810
4,1.0,1.0,08,01,04,1793
1,0.0,0.0,13,09,06,2930
1,0.0,0.0,10,08,04,476
1,0.0,0.0,13,09,03,281
1,1.0,0.0,12,08,01,4526
1,0.0,0.0,09,01,04,1443
7,3.0,1.0,09,12,01,941
1,0.0,0.0,09,01,01,1227
1,1.0,0.0,03,03,04,608
1,0.0,0.0,04,06,03,1122
3,0.0,0.0,02,10,00,149
1,2.0,2.0,11,06,00,3509
1,1.0,0.0,01,03,02,553
1,1.0,0.0,07,10,02,1413
1,0.0,1.0,08,05,02,723
1,0.0,0.0,01,09,03,642
