quantity,questions,exclaims,hour,month,day,length
SINGLE,0.0,0.0,Morning,WINTER,End,38
SINGLE,1.0,0.0,Evening,SUMMER,Day,804
SINGLE,1.0,0.0,Morning,FALL,Day,671
LONG,0.0,0.0,Evening,FALL,Day,1080
SINGLE,0.0,1.0,SmallHours,WINTER,End,525
SINGLE,4.0,0.0,Evening,SPRING,Day,10368
SINGLE,1.0,0.0,Evening,FALL,Day,2252
SHORT,0.0,0.0,Morning,WINTER,Day,1744
SINGLE,0.0,0.0,Morning,SUMMER,Day,856
SINGLE,1.0,0.0,Morning,FALL,Day,625
SINGLE,0.0,0.0,Evening,SPRING,Day,423
SINGLE,0.0,0.0,Morning,WINTER,Day,339
SINGLE,0.0,1.0,Morning,FALL,Day,502
SINGLE,0.0,0.0,Evening,WINTER,Day,1107
SINGLE,0.0,1.0,SmallHours,WINTER,Day,304
SINGLE,1.0,1.0,Evening,SPRING,Day,659
SINGLE,0.0,1.0,Morning,SPRING,Day,1185
SHORT,3.0,0.0,Evening,WINTER,Day,1935
SINGLE,0.0,0.0,Evening,WINTER,Day,1634
SINGLE,2.0,0.0,Evening,WINTER,Day,896
SHORT,0.0,0.0,Morning,FALL,End,666
SINGLE,2.0,2.0,Morning,FALL,Day,1444
SINGLE,2.0,0.0,SmallHours,FALL,Day,897
SHORT,1.0,0.0,Morning,FALL,End,959
SINGLE,0.0,1.0,Morning,WINTER,Day,98
SINGLE,0.0,0.0,Evening,SUMMER,Day,789
SINGLE,0.0,0.0,Evening,SUMMER,Day,1223
SINGLE,0.0,0.0,Evening,FALL,End,4709
SINGLE,0.0,0.0,Morning,FALL,Day,0
SINGLE,0.0,0.0,Morning,SUMMER,Day,2026
SINGLE,1.0,0.0,Morning,WINTER,Day,741
SINGLE,0.0,1.0,Evening,SUMMER,Day,745
SINGLE,3.0,0.0,Evening,SPRING,Day,778
SINGLE,0.0,0.0,Morning,WINTER,Day,792
SINGLE,0.0,0.0,Morning,WINTER,Day,419
LONG,0.0,0.0,Morning,WINTER,Day,1791
SINGLE,0.0,1.0,Evening,FALL,Day,673
LONG,2.0,1.0,Morning,FALL,Day,597
SINGLE,2.0,0.0,Evening,WINTER,End,350
SINGLE,0.0,0.0,Morning,FALL,Day,311
SINGLE,0.0,0.0,Evening,FALL,Day,920
SINGLE,4.0,0.0,Morning,SUMMER,Day,1656
SINGLE,0.0,0.0,Night,SPRING,Day,842
SHORT,3.0,0.0,SmallHours,WINTER,Day,918
SINGLE,0.0,0.0,SmallHours,WINTER,Day,228
SINGLE,0.0,4.0,Evening,WINTER,Day,1368
SINGLE,6.0,1.0,Evening,FALL,Day,2550
SHORT,1.0,0.0,Morning,FALL,End,200
SINGLE,0.0,0.0,Evening,WINTER,Day,178
SINGLE,0.0,1.0,Evening,WINTER,Day,380
SINGLE,0.0,0.0,Night,FALL,Day,2441
SINGLE,1.0,0.0,Morning,FALL,Day,590
SINGLE,0.0,0.0,Morning,FALL,Day,301
SINGLE,0.0,1.0,Morning,FALL,Day,1062
SINGLE,1.0,0.0,Morning,SPRING,Day,1081
SINGLE,0.0,0.0,Evening,FALL,Day,1126
SINGLE,0.0,0.0,Evening,SPRING,Day,170
SINGLE,1.0,2.0,Morning,FALL,Day,2051
SINGLE,4.0,0.0,Morning,SPRING,Day,2265
SINGLE,0.0,0.0,Morning,FALL,Day,952
LONG,1.0,1.0,Night,WINTER,Day,1019
SINGLE,1.0,0.0,Evening,SPRING,End,745
SINGLE,0.0,0.0,Evening,FALL,Day,4187
SINGLE,0.0,0.0,Morning,WINTER,End,851
LONG,0.0,0.0,Morning,SPRING,Day,612
LONG,3.0,1.0,Morning,SPRING,Day,1222
SHORT,6.0,0.0,Morning,SUMMER,Day,2445
SINGLE,0.0,0.0,SmallHours,FALL,Day,2012
SINGLE,1.0,1.0,SmallHours,WINTER,End,551
SINGLE,0.0,0.0,SmallHours,WINTER,Day,1167
SINGLE,1.0,0.0,Night,WINTER,Day,1052
SINGLE,1.0,1.0,Evening,FALL,Day,636
SHORT,0.0,0.0,Morning,FALL,Day,564
LONG,2.0,0.0,SmallHours,SUMMER,Day,240
SINGLE,0.0,0.0,SmallHours,FALL,Day,654
SINGLE,0.0,0.0,Morning,FALL,Day,413
SINGLE,2.0,0.0,Evening,WINTER,Day,605
SINGLE,0.0,0.0,Evening,SUMMER,Day,752
SINGLE,6.0,0.0,Evening,FALL,Day,893
SINGLE,0.0,0.0,Evening,WINTER,Day,42
SINGLE,0.0,0.0,Morning,WINTER,Day,246
SINGLE,2.0,0.0,Evening,WINTER,Day,920
