2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
5823,5360,0,3.4,0.0,1.4,0.0,12.3,9.3,0.0,7,Crowley County,5.7,75.2,30.3,0.0,79.6,1173,1547,787.42,14.7,86.2,0,24.1,31477,78800,0,0.1,0.0,163,17187,13.0,30.2,14.3,4.3,29.1,3.4,-8.0,7.4,478,-18.3,33,157,2427,CO,0,1.8,5.7,453,84.0,56.4,0.0
4255,4361,55,0.8,0.0,0.6,0.0,32.7,1.2,0.0,43,Custer County,2.1,94.6,5.3,0.0,80.6,2048,4167,738.63,5.9,84.1,0,34.7,32427,216200,0,0.0,0.0,655,25761,29.0,49.1,14.6,2.5,14.6,2.06,2.5,5.8,543,7.3,143,587,14820,CO,0,1.6,5.1,790,95.9,91.2,0.0
30952,29870,269,1.3,0.0,0.8,0.0,18.3,0.7,0.0,47,Delta County,4.5,87.8,14.7,0.0,75.7,12671,14485,1142.05,9.8,85.6,1413,24.8,42078,191200,608,0.1,0.0,2656,24771,23.5,50.1,20.9,5.1,15.5,2.33,-3.5,27.1,6620,-1.1,818,3128,10353,CO,4029,1.8,5.7,3493,95.2,82.2,0.0
600158,663862,22790,2.0,1.1,3.8,3.7,42.9,10.2,4.3,5958,Denver County,15.8,85.4,30.8,8.7,50.2,266069,298864,153.0,26.9,77.3,51898,24.6,50313,249100,149209,0.2,0.0,59296,33251,10.9,50.0,20.9,6.8,19.1,2.27,10.6,3922.6,399744,2.2,22834,68353,11810,CO,67500,3.1,45.7,34001,80.7,53.4,30.2
2064,1978,16,3.6,0.0,0.3,0.0,18.4,0.3,0.0,1,Dolores County,1.1,88.8,5.1,0.0,80.8,780,1450,1067.05,2.1,84.4,0,23.0,37750,121800,192,0.1,0.0,149,22880,22.0,48.0,20.4,4.9,14.9,2.19,-4.2,1.9,0,0.0,53,150,7961,CO,349,2.6,1.8,169,93.2,88.6,0.0
285465,314638,4350,0.5,0.0,4.3,2.4,55.8,1.4,0.0,3230,Douglas County,6.4,97.5,8.3,3.1,80.9,103780,113777,840.25,8.8,85.4,19508,27.7,101591,335600,0,0.1,0.0,28689,43634,9.9,50.3,28.3,6.3,3.9,2.82,10.2,339.7,91934,5.2,8040,37654,13846,CO,32992,2.4,15.8,19635,91.3,83.9,27.7
52197,52921,4696,1.4,1.0,1.2,0.0,47.0,1.0,0.0,256,Eagle County,19.2,88.7,30.0,3.6,66.0,17966,31528,1684.53,29.6,87.8,0,20.0,74456,453300,0,0.1,0.0,6887,39497,8.1,47.0,23.2,6.1,10.9,2.9,1.4,31.0,29062,-3.3,3217,9287,18367,CO,9437,1.2,38.9,1763,95.1,67.1,26.3
23086,24195,68,0.8,0.0,1.0,0.0,29.6,0.8,0.0,116,Elbert County,4.1,96.6,6.4,0.0,90.4,8240,9084,1850.85,5.2,88.8,0,41.3,82118,333600,137,0.2,0.0,2629,36077,13.9,49.8,22.5,3.9,6.5,2.81,4.8,12.5,2271,9.0,564,807,3558,CO,3269,1.9,1.3,2328,95.4,89.7,26.2
622263,663519,11538,1.3,0.7,3.0,3.0,35.2,7.0,2.5,3533,El Paso County,7.2,93.6,16.3,4.9,63.7,237039,262154,2126.8,11.6,77.8,0,21.7,57125,213500,28106,0.4,0.1,45032,28867,11.5,49.6,25.1,6.9,12.4,2.6,6.6,292.6,221972,3.3,16008,79501,13578,CO,57475,4.6,22.3,81330,83.7,70.3,31.4
46824,46502,408,1.9,0.0,0.8,0.0,15.6,4.0,0.0,55,Fremont County,4.0,84.1,13.0,0.0,70.7,16938,19223,1533.07,11.0,82.9,1687,23.3,39943,159500,0,0.1,0.0,2692,18954,20.3,42.3,16.5,4.0,17.6,2.1,-0.7,30.5,7420,-2.9,821,3524,7444,CO,4110,1.7,10.9,5491,91.5,79.4,26.2
56389,57461,1611,1.8,0.6,0.8,0.0,26.6,1.2,0.0,83,Garfield County,15.0,85.2,28.1,5.7,64.8,20163,23361,2947.56,24.8,79.2,0,27.5,57022,302700,4421,0.2,0.0,5918,26603,10.7,48.9,25.9,7.1,11.9,2.76,1.9,19.1,18983,2.8,2410,11846,22367,CO,8595,1.9,20.5,3465,94.2,68.8,25.1
