Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,205,-1,Portugal,84,-1,311,755,759,1266,100,148962,105319,2010
3,144,-1,South Africa,12,-1,248,2758,2705,2550,49,111173,98766,2010
-1,-1,-1,Tokelau,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
8,99,-1,Fiji,29,15,137,1201,-1,1140,34,10948,8914,2010
-1,-1,-1,Liechtenstein,-1,-1,-1,-1,-1,-1,-1,1913,2152,2010
-1,-1,-1,Qatar,-1,-1,16,148,-1,115,-1,7592,17259,2010
-1,73,-1,Malaysia,18,-1,310,1714,-1,1211,35,80549,61463,2010
-1,22,-1,Austria,7,-1,112,442,3319,277,12,209633,192187,2010
-1,-1,-1,Mozambique,-1,-1,-1,53,-1,41,-1,1343,1567,2010
89,54,30,Uganda,10,19,41,1085,-1,637,18,7773,6578,2010
-1,69,-1,Hungary,10,-1,220,1022,1006,916,79,66516,60474,2010
8,68,-1,Niger,6,4,31,96,-1,89,18,1244,1218,2010
-1,-1,-1,Isle of Man,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
7,202,0,Bosnia-Herzegovina,50,-1,63,946,-1,4012,11,5838,5003,2010
46,3532,-1,Brazil,487,13,1110,12258,12057,8867,3046,1233457,1263944,2010
-1,-1,-1,San Marino,-1,-1,-1,-1,-1,-1,-1,797,777,2010
-1,-1,-1,Falkland Islands,-1,-1,-1,-1,-1,-1,-1,-1,70,2010
-1,-1,-1,Faroe Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
-1,27,40,Kuwait,-1,-1,36,1037,-1,919,-1,29500,35230,2010
-1,283,-1,Panama,123,-1,182,1536,1627,1215,65,124113,152097,2010
5,428,-1,Guyana,167,-1,317,6749,6441,4932,54,28146,19958,2010
-1,548,-1,Costa Rica,157,-1,284,2164,2306,1114,396,189999,203062,2010
-1,-1,-1,Luxembourg,-1,-1,-1,22,-1,18,-1,14349,20734,2010
-1,-1,-1,American Samoa,-1,-1,-1,14,-1,232,-1,-1,1485,2010
-1,279,-1,Bahamas,89,-1,524,652,-1,475,17,276899,303101,2010
-1,-1,-1,Gibraltar,-1,-1,-1,-1,-1,-1,-1,-1,1683,2010
-1,72,-1,Ireland,21,-1,320,1507,1610,1178,86,486354,431345,2010
-1,20,-1,Palau,11,-1,26,18,-1,71,0,311,5063,2010
31,599,-1,Nigeria,184,29,784,13376,-1,9126,185,97402,83695,2010
-1,-1,-1,Other Oceania,-1,-1,-1,-1,1823,-1,-1,-1,-1,2010
9,3890,-1,Ecuador,692,7,431,11492,11463,5931,1693,205174,211325,2010
-1,107,-1,Czech Republic,19,-1,144,190,-1,367,59,76951,72028,2010
-1,-1,-1,Brunei,-1,-1,-1,20,-1,15,-1,1217,1443,2010
65,66,103,Belarus,10,55,79,2038,-1,1523,16,12287,10759,2010
397,297,3543,Iran,15,63,764,14182,9078,9337,59,18375,12862,2010
9,62,-1,Algeria,-1,0,136,1305,-1,808,-1,6319,4813,2010
