Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
12,28,721,Moldova,6,-1,46,3036,-1,988,6,5764,4984,2006
3,287,-1,Morocco,26,8,368,4949,4704,3643,64,18296,15369,2006
-1,15,-1,Croatia,5,-1,66,945,-1,1623,10,23141,19477,2006
-1,-1,-1,French Polynesia,-1,-1,7,37,-1,16,-1,-1,14707,2006
-1,0,-1,Guinea-Bissau,-1,-1,-1,25,-1,14,-1,100,30,2006
-1,-1,-1,Kiribati,-1,-1,12,8,-1,-1,-1,722,1071,2006
-1,8,-1,Switzerland,10,-1,285,983,1199,539,5,284197,312378,2006
-1,28,-1,Grenada,20,-1,76,1068,-1,781,7,10976,9337,2006
-1,-1,-1,Other Africa,-1,-1,-1,-1,73934,-1,-1,-1,-1,2006
-1,-1,9,"Korea, North",-1,-1,-1,-1,-1,-1,-1,75,38,2006
-1,140,-1,Belize,112,-1,172,1252,1263,918,99,26195,27888,2006
19,4,4,Chad,-1,16,22,73,-1,18,0,532,487,2006
0,13,7,Estonia,4,-1,17,423,-1,156,19,10057,9590,2006
-1,110,-1,Uruguay,19,-1,99,1664,1639,579,123,40466,39001,2006
84,1057222,-1,Mexico,73171,49,90209,173749,170042,83979,113555,6146126,6121709,2006
10,262,-1,Lebanon,36,26,413,4083,-1,3393,118,24008,17975,2006
-1,519,-1,"Korea, South",115,-1,1726,24386,-1,17668,336,942350,827685,2006
-1,-1,-1,"Virgin Islands, British",-1,-1,-1,-1,-1,-1,-1,-1,40061,2006
88,147,527,Uzbekistan,5,95,38,4015,-1,1821,43,6480,5953,2006
-1,-1,-1,Iceland,-1,-1,28,145,-1,70,-1,49535,45861,2006
0,-1,-1,Djibouti,-1,-1,15,34,-1,18,-1,186,211,2006
-1,8,-1,Bermuda,0,-1,140,160,-1,72,-1,-1,28075,2006
-1,35,-1,Dominica,14,-1,50,471,-1,741,14,5897,7572,2006
2178,1647,115,Colombia,1307,782,1620,43144,42017,15698,1481,443781,399385,2006
-1,-1,-1,Reunion,-1,-1,-1,-1,-1,-1,-1,-1,226,2006
29,8,466,Burundi,-1,13,36,320,-1,71,-1,1098,977,2006
-1,44,-1,Taiwan,9,-1,431,8086,8545,8819,77,331490,338605,2006
20,3228,-1,Nicaragua,592,15,448,4145,4035,9283,1854,51032,52317,2006
-1,34,-1,Barbados,41,-1,104,959,-1,1006,5,60494,65211,2006
0,-1,-1,Madagascar,-1,-1,31,72,-1,36,-1,945,936,2006
-1,90,-1,Italy,78,-1,1681,3215,3406,2769,66,758899,617945,2006
-1,-1,-1,Curacao,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
8,-1,3,Bhutan,-1,-1,-1,78,-1,-1,-1,432,345,2006
48,74,1848,Sudan,5,45,79,5504,-1,2587,17,1877,1338,2006
211,48,-1,Nepal,8,165,70,3733,-1,575,22,14440,12409,2006
-1,-1,-1,Malta,-1,-1,56,70,-1,86,-1,5367,5287,2006
-1,-1,-1,Comoros,-1,-1,-1,7,-1,-1,-1,90,77,2006
-1,-1,-1,Maldives,-1,-1,-1,-1,-1,-1,-1,349,332,2006
-1,29,-1,Antigua-Barbuda,33,-1,56,570,-1,520,7,23416,26027,2006
-1,20,-1,Suriname,7,-1,13,314,341,222,14,5538,6191,2006
-1,-1,-1,Cayman Islands,-1,-1,35,65,-1,18,-1,-1,60831,2006
-1,-1,-1,Anguilla,-1,-1,13,32,-1,35,-1,-1,6919,2006
-1,-1,-1,Other Europe,-1,-1,-1,-1,38186,-1,-1,-1,-1,2006
-1,-1,-1,Holy See,-1,-1,-1,-1,-1,-1,-1,118,40,2006
4,267,-1,Israel,53,25,883,5943,6667,2905,144,339109,320050,2006
1080,255,-1,Venezuela,130,279,633,11341,11758,4476,314,393587,400659,2006
-1,33,-1,Czechoslovakia,16,-1,69,1442,2844,614,52,-1,-1,2006
61,50,28,All other countries,10,121,47,39,-1,27,45,-1,-1,2006
-1,-1,-1,Papua New Guinea,-1,-1,3,30,-1,12,-1,732,904,2006
-1,5,-1,Malawi,0,-1,13,131,-1,67,-1,1584,1468,2006
-1,320,-1,Trinidad and Tobago,248,-1,674,8854,-1,6612,150,159358,155305,2006
141,41,13,Zimbabwe,12,56,83,1049,-1,322,14,7599,5454,2006
-1,130,-1,Germany,61,-1,1369,8436,10271,4556,97,1704168,1568461,2006
-1,-1,-1,Vanuatu,-1,-1,-1,-1,-1,-1,-1,139,263,2006
-1,6,-1,Denmark,-1,-1,156,699,738,199,-1,228269,205880,2006
7,98,-1,Senegal,23,15,309,1367,-1,503,101,7360,5559,2006
16,40,124,Kazakhstan,3,25,45,2073,-1,872,12,10434,9695,2006
8,773,-1,Philippines,260,17,2162,74606,71133,40500,398,284065,247055,2006
112,83,538,Eritrea,3,96,30,1593,-1,653,7,1299,873,2006
9,14,15,Kyrgyzstan,-1,20,5,785,-1,246,-1,1788,1569,2006
-1,-1,-1,Mayotte,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,-1,-1,Montserrat,-1,-1,-1,90,-1,96,-1,-1,965,2006
-1,-1,-1,New Caledonia,-1,-1,-1,7,-1,-1,-1,-1,1672,2006
8,48,-1,Macedonia,7,20,77,1317,-1,837,31,5929,4978,2006
-1,26,-1,Paraguay,6,-1,54,719,725,285,53,12517,12902,2006
-1,22,21,Latvia,4,12,64,892,-1,347,15,11938,11168,2006
-1,-1,-1,South Sudan,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,33,-1,Japan,10,-1,1106,8265,9107,2192,43,4306800,4179874,2006
12,151,27,Syria,21,20,82,2918,3080,2395,49,6582,4673,2006
-1,-1,-1,Other Asia,-1,-1,-1,-1,107429,-1,-1,-1,-1,2006
-1,-1,-1,Guadeloupe,-1,-1,-1,-1,-1,-1,-1,-1,7716,2006
-1,-1,-1,Sint Maarten,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
94,26,1612,Burma,0,157,103,4562,-1,1486,14,2069,1376,2006
26,33394,0,Honduras,5752,65,851,8177,8036,4949,21308,109478,110599,2006
-1,-1,11,Equatorial Guinea,-1,-1,-1,13,-1,-1,-1,290,245,2006
176,354,-1,Egypt,30,239,333,10500,13163,4271,142,38115,32879,2006
-1,11,-1,Singapore,3,-1,128,997,-1,347,13,112581,135328,2006
-1,-1,11,Serbia,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,-1,-1,Botswana,-1,-1,7,53,-1,17,-1,1906,2558,2006
-1,305,-1,United Kingdom,195,-1,4119,17207,19984,9104,190,4949151,4655995,2006
-1,-1,-1,Christmas Island,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,-1,-1,Yugoslavia,-1,-1,-1,-1,11066,-1,-1,-1,-1,2006
-1,86,-1,Tunisia,8,-1,192,510,-1,315,25,5363,4474,2006
-1,36,-1,Greece,19,-1,211,1124,1544,1291,16,65840,58282,2006
15,67,6,Sri Lanka,6,85,389,2191,-1,1023,76,16331,12362,2006
-1,-1,-1,French Guiana,-1,-1,-1,-1,-1,-1,-1,-1,278,2006
6,22,-1,Zambia,7,-1,33,672,-1,239,7,3786,3627,2006
-1,767,-1,Canada,411,9,36595,15495,20324,8473,852,276399,634436,2007
-1,-1,-1,East Timor,-1,-1,-1,-1,-1,-1,-1,5,5,2007
-1,-1,-1,Sao Tome and Principe,-1,-1,-1,7,-1,-1,-1,63,72,2007
