Acceleration,Base Curb Weight,Classification,Driveline,Engine,Engine Type,Height,Horsepower,Hybrid,Length,Make,Model Year,Number Of Forward Gears,Size,Top Speed,Torque,Transmission,Width,city_mpg,fuel,highway_mpg,id,year
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.5L 6 Cylinder 219 hp 219 ft-lbs,,0,219,FALSE,0,Pontiac,2008 Pontiac G6 Sedan,4,3.5,0.0,219,4 Speed Automatic Select Shift,0,17,Gasoline,26,2008 Pontiac G6 Sedan V6,2008
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 2.4L 4 Cylinder 164 hp 156 ft-lbs,,0,164,FALSE,0,Pontiac,2008 Pontiac G6 Sedan,4,2.4,0.0,156,4 Speed Automatic,0,22,Gasoline,30,2008 Pontiac G6 1SV Sedan,2008
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.6L 6 Cylinder 252 hp 251 ft-lbs,6 Cylinder,0,252,FALSE,0,Pontiac,2008 Pontiac G6 Sedan,6,3.6,0.0,251,6 Speed Automatic Select Shift,0,17,Gasoline,26,2008 Pontiac G6 GXP Sedan,2008
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.9L 6 Cylinder 222 hp 238 ft-lbs,,0,222,FALSE,0,Pontiac,2008 Pontiac G6 Convertible,4,3.9,0.0,238,4 Speed Automatic Select Shift,0,15,Gasoline,22,2008 Pontiac G6 GT 3.9L Convertible,2008
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.5L 6 Cylinder 217 hp 217 ft-lbs,,0,217,FALSE,0,Pontiac,2008 Pontiac G6 Convertible,4,3.5,0.0,217,4 Speed Automatic,0,18,Gasoline,29,2008 Pontiac G6 GT Convertible,2008
0.0,0,Manual transmission,Front-wheel drive,Honda 2.4L 4 cylinder 166 hp 160 ft-lbs,,0,166,FALSE,0,Honda,2007 Honda Accord Coupe,5,2.4,0.0,160,5 Speed Manual,0,23,Gasoline,31,2007 Honda Accord LX Coupe,2007
0.0,0,Automatic transmission,Front-wheel drive,Honda 3.0L 6 cylinder 244 hp 211 ft-lbs,V6 engine,0,244,FALSE,0,Honda,2007 Honda Accord Coupe,5,3.0,0.0,211,5 Speed Automatic,0,18,Gasoline,26,2007 Honda Accord LX V-6 Coupe,2007
0.0,0,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 166 hp 160 ft-lbs,,0,166,FALSE,0,Honda,2007 Honda Accord Coupe,5,2.4,0.0,160,5 Speed Automatic,0,21,Gasoline,31,2007 Honda Accord LX Coupe AT,2007
0.0,0,Manual transmission,Front-wheel drive,Honda 3.0L 6 cylinder 244 hp 211 ft-lbs,V6 engine,0,244,FALSE,0,Honda,2007 Honda Accord Coupe,6,3.0,0.0,211,6 Speed Manual,0,18,Gasoline,27,2007 Honda Accord EX-L V-6 Coupe,2007
0.0,0,Automatic transmission,,Honda 3L V6 240hp 212torque,V6 engine,0,240,,0,Honda,2005 Honda Accord Sedan,5,3.0,0.0,212,5 Speed Automatic,0,21,,30,2005 Honda Accord Sedan Honda 3L V6 240hp 212torque 5 Speed Automatic,2005
0.0,0,Manual transmission,,Honda 2.4L 4 cylinder 160hp 161 torque VTEC,Straight-4,0,160,,0,Honda,2005 Honda Accord Sedan,5,2.4,0.0,161,5 Speed Manual,0,26,,34,2005 Honda Accord Sedan Honda 2.4L 4 cylinder 160hp 161 torque VTEC 5 Speed Manual,2005
0.0,0,Manual transmission,,Honda 3L V6 240hp 212torque,V6 engine,0,240,,0,Honda,2005 Honda Accord Sedan,6,3.0,0.0,212,6 Speed Manual,0,20,,30,2005 Honda Accord Sedan Honda 3L V6 240hp 212torque 6 Speed Manual,2005
0.0,0,Automatic transmission,,Honda 2.4L 4 cylinder 160hp 161 torque VTEC,Straight-4,0,160,,0,Honda,2005 Honda Accord Sedan,5,2.4,0.0,161,5 Speed Automatic,0,24,,34,2005 Honda Accord Sedan Honda 2.4L 4 cylinder 160hp 161 torque VTEC 5 Speed Automatic,2005
0.0,0,Manual transmission,,Honda 3L V6 240hp 212torque,V6 engine,0,240,,0,Honda,2005 Honda Accord Coupe,6,3.0,0.0,212,6 Speed Manual,0,20,,30,2005 Honda Accord Coupe Honda 3L V6 240hp 212torque 6 Speed Manual,2005
0.0,0,Automatic transmission,,Honda 2.4L 4 cylinder 160hp 161 torque VTEC,Straight-4,0,160,,0,Honda,2005 Honda Accord Coupe,5,2.4,0.0,161,5 Speed Automatic,0,24,,34,2005 Honda Accord Coupe Honda 2.4L 4 cylinder 160hp 161 torque VTEC 5 Speed Automatic,2005
0.0,0,Automatic transmission,,Honda 3L V6 240hp 212torque,V6 engine,0,240,,0,Honda,2005 Honda Accord Coupe,5,3.0,0.0,212,5 Speed Automatic,0,21,,30,2005 Honda Accord Coupe Honda 3L V6 240hp 212torque 5 Speed Automatic,2005
0.0,0,Manual transmission,,Honda 2.4L 4 cylinder 160hp 161 torque VTEC,Straight-4,0,160,,0,Honda,2005 Honda Accord Coupe,5,2.4,0.0,161,5 Speed Manual,0,26,,34,2005 Honda Accord Coupe Honda 2.4L 4 cylinder 160hp 161 torque VTEC 5 Speed Manual,2005
0.0,0,Manual transmission,,Honda 2.4L 4 Cylinder,,0,0,,0,Honda,2006 Honda Accord Sedan,5,2.4,0.0,0,5 Speed Manual,0,26,,34,2006 Honda Accord Sedan Honda 2.4L 4 Cylinder 5 Speed Manual,2006
0.0,0,Automatic transmission,,Honda 2.4L 4 Cylinder,,0,0,,0,Honda,2006 Honda Accord Sedan,5,2.4,0.0,0,5 Speed Automatic,0,24,,34,2006 Honda Accord Sedan Honda 2.4L 4 Cylinder 5 Speed Automatic,2006
0.0,0,Manual transmission,,Honda 3.0L 6 cylinder 244 hp 211 ft-lbs,V6 engine,0,244,,0,Honda,2006 Honda Accord Sedan,6,3.0,0.0,211,6 Speed Manual,0,21,,30,2006 Honda Accord V6 Sedan,2006
0.0,0,Automatic transmission,,Honda 3.0L 6 cylinder 244 hp 211 ft-lbs,V6 engine,0,244,,0,Honda,2006 Honda Accord Sedan,5,3.0,0.0,211,5 Speed Automatic,0,20,,29,2006 Honda Accord V6 Sedan AT,2006
0.0,0,Manual transmission,,Honda 2.4L 4 Cylinder,,0,0,,0,Honda,2004 Honda Accord Coupe,5,2.4,0.0,0,5 Speed Manual,0,26,,34,2004 Honda Accord Coupe Honda 2.4L 4 Cylinder 5 Speed Manual,2004
0.0,0,Automatic transmission,,Honda 2.4L 4 Cylinder,,0,0,,0,Honda,2004 Honda Accord Coupe,5,2.4,0.0,0,5 Speed Automatic,0,24,,34,2004 Honda Accord Coupe Honda 2.4L 4 Cylinder 5 Speed Automatic,2004
0.0,0,Automatic transmission,,Honda 2.4L 4 cylinder 160hp 161 torque,Straight-4,0,161,,0,Honda,2003 Honda Accord Coupe,5,2.4,0.0,160,5 Speed Automatic,0,24,,33,2003 Honda Accord Coupe Honda 2.4L 4 cylinder 160hp 161 torque 5 Speed Automatic,2003
0.0,0,Manual transmission,,Honda 2.4L 4 cylinder 160hp 161 torque,Straight-4,0,161,,0,Honda,2003 Honda Accord Coupe,5,2.4,0.0,160,5 Speed Manual,0,26,,34,2003 Honda Accord Coupe Honda 2.4L 4 cylinder 160hp 161 torque 5 Speed Manual,2003
0.0,0,Manual transmission,,Honda 3.0L V6 240hp 212 torque,V6 engine,0,240,,0,Honda,2003 Honda Accord Coupe,6,3.0,0.0,212,6 Speed Manual,0,20,,30,2003 Honda Accord Coupe Honda 3.0L V6 240hp 212 torque 6 Speed Manual,2003
0.0,0,Automatic transmission,,Honda 3.0L V6 240hp 212 torque,V6 engine,0,240,,0,Honda,2003 Honda Accord Coupe,5,3.0,0.0,212,5 Speed Automatic,0,21,,30,2003 Honda Accord Coupe Honda 3.0L V6 240hp 212 torque 5 Speed Automatic,2003
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2002 Honda Accord Sedan DX,5,0.0,0.0,153,5 Speed Manual,0,25,,32,2002 Honda Accord Sedan DX Straight-4 5 Speed Manual,2002
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2002 Honda Accord Sedan DX,4,0.0,0.0,153,4 Speed Automatic,0,23,,30,2002 Honda Accord Sedan DX Straight-4 4 Speed Automatic,2002
