Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,County,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,State,State Abbreviation,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
0,Republican,0.0,455,Democrat,47.9,0,Republican,0.0,0,Republican,0.0,Alcona,1111,Republican,51.800000000000004,463,Democrat,48.699999999999996,0,Republican,0.0,340,Republican,15.9,138,Republican,6.4,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,460,Republican,21.5,0,N/A,0.0
0,Republican,0.0,302,Democrat,26.400000000000002,0,Republican,0.0,0,Republican,0.0,Alcorn,2901,Republican,50.4,809,Democrat,70.8,0,Republican,0.0,415,Republican,7.200000000000001,320,Republican,5.6000000000000005,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Mississippi,MS,2003,Republican,34.8,0,N/A,0.0
0,Republican,0.0,434,Democrat,33.800000000000004,0,Republican,0.0,0,Republican,0.0,Alexander,282,Republican,52.400000000000006,770,Democrat,60.0,0,Republican,0.0,17,Republican,3.2,15,Republican,2.8000000000000003,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Illinois,IL,211,Republican,39.2,0,N/A,0.0
0,Republican,0.0,1,Democrat,100.0,0,Republican,0.0,0,Republican,0.0,Alexander,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,1123,Democrat,44.800000000000004,0,Republican,0.0,0,Republican,0.0,Alexander,2608,Republican,41.9,1148,Democrat,45.800000000000004,0,Republican,0.0,374,Republican,6.0,242,Republican,3.9,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,North Carolina,NC,2830,Republican,45.5,0,N/A,0.0
272,Republican,2.0,7008,Democrat,29.9,0,Republican,0.0,0,Republican,0.0,Alexandria,2546,Republican,18.8,16281,Democrat,69.5,0,Republican,0.0,3152,Republican,23.3,6338,Republican,46.800000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,1036,Republican,7.7,0,N/A,0.0
67,Republican,5.8999999999999995,191,Democrat,58.099999999999994,0,Republican,0.0,0,Republican,0.0,Alfalfa,337,Republican,29.4,92,Democrat,28.000000000000004,0,Republican,0.0,18,Republican,1.6,274,Republican,23.9,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Oklahoma,OK,421,Republican,36.8,0,N/A,0.0
2,Republican,5.3,59,Democrat,41.3,0,Republican,0.0,0,Republican,0.0,Alford,12,Republican,31.6,84,Democrat,58.70000000000001,0,Republican,0.0,14,Republican,36.8,7,Republican,18.4,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,2,Republican,5.3,0,N/A,0.0
0,Republican,0.0,5,Democrat,62.5,0,Republican,0.0,0,Republican,0.0,Alfred,0,Republican,0.0,3,Democrat,37.5,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,622,Democrat,60.0,0,Republican,0.0,0,Republican,0.0,Alger,517,Republican,40.699999999999996,384,Democrat,37.1,0,Republican,0.0,281,Republican,22.1,99,Republican,7.8,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,318,Republican,25.0,0,N/A,0.0
