acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
1955,"Blenheim Palace, United Kingdom",1874,1930,1936,Presented by the artist 1955,"London, United Kingdom",1965,73.0,Male,767.0,Oil paint on canvas,"Churchill, Sir Winston",artist,,"The Loup River, Alpes Maritimes",http://www.tate.org.uk/art/artworks/churchill-the-loup-river-alpes-maritimes-t00039,667.0
1983,"Suffolk, United Kingdom",1798,0,0,Presented anonymously in memory of Sir Terence Rattigan 1983,Woodbridge,1865,0.0,Male,154.0,Oil paint on board,"Churchyard, Thomas",artist,http://www.tate.org.uk/art/images/work/T/T03/T03621_8.jpg,Aldeburgh Beach,http://www.tate.org.uk/art/artworks/churchyard-aldeburgh-beach-t03621,120.0
1963,,1660,1690,1695,Purchased 1963,,1725,0.0,Male,391.0,Oil paint on paper on canvas,"Chron, Louis",artist,http://www.tate.org.uk/art/images/work/T/T00/T00578_8.jpg,Vulcan Catching Mars and Venus in his Net,http://www.tate.org.uk/art/artworks/cheron-vulcan-catching-mars-and-venus-in-his-net-t00578,495.0
1928,"Venezia, Italia",1879,1920,1924,Presented by Sir Edmund Davis through the Art Fund 1928,"Vicenza, Italia",1933,0.0,Female,807.0,Oil paint on canvas,"Ciardi, Emma",artist,http://www.tate.org.uk/art/images/work/N/N04/N04427_8.jpg,Diaphanous Day,http://www.tate.org.uk/art/artworks/ciardi-diaphanous-day-n04427,603.0
2001,,0,1970,1973,Purchased 2001,,0,0.0,Male,797.0,Lithograph on paper,"Cinicolo, Donato",artist,,Sundei,http://www.tate.org.uk/art/artworks/cinicolo-sundei-p78492,299.0
1997,"Firenze, Italia",1727,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"London, United Kingdom",1785,0.0,Male,203.0,Graphite and chalk on paper,"Cipriani, Giovanni Battista",artist,http://www.tate.org.uk/art/images/work/T/T09/T09511_8.jpg,Sleeping Nymph and Putti,http://www.tate.org.uk/art/artworks/cipriani-sleeping-nymph-and-putti-t09511,163.0
2002,,1988,2000,2000,Purchased 2002,,0,20.0,Male,6100.0,"Marker pen, photographs and printed papers on fibreboard ","City Racing (Matt Hale; Paul Noble, born 1963; John Burgess; Keith Coventry, born 1958; Peter Owen)",artist,,City Racing Family Tree,http://www.tate.org.uk/art/artworks/city-racing-matt-hale-paul-noble-burgess-hale-noble-owen-city-racing-family-tree-t07838,2442.0
1981,"Trbovlje, Slovenija",1924,1970,1976,Purchased 1981,,0,0.0,Male,446.0,Felt on screenprint on paper,"Ciuha, Joze",artist,http://www.tate.org.uk/art/images/work/P/P07/P07586_8.jpg,The Legend of the Third,http://www.tate.org.uk/art/artworks/ciuha-the-legend-of-the-third-p07586,558.0
1877,"Dorset, United Kingdom",1834,1870,1877,Presented by the Trustees of the Chantrey Bequest 1877,"Ramsgate, United Kingdom",1926,0.0,Male,634.0,Oil paint on canvas,"Clark, Joseph",artist,http://www.tate.org.uk/art/images/work/N/N01/N01610_8.jpg,Early Promise,http://www.tate.org.uk/art/artworks/clark-early-promise-n01610,780.0
1973,"Portsmouth, United Kingdom",1949,1970,1973,Purchased 1973,,0,0.0,Female,464.0,"Graphite, plastic, glass, ink, card, transfer lettering, tape and clay","Clark, Judy",artist,http://www.tate.org.uk/art/images/work/T/T01/T01827_8.jpg,Catalogue [male symbol] Skin,http://www.tate.org.uk/art/artworks/clark-catalogue-male-symbol-skin-t01827,387.0
2013,"Belo Horizonte, Brasil",1920,1950,1957,"Presented by the American Fund for the Tate Gallery, courtesy of the Latin American Acquisitions Committee 2012","Rio de Janeiro, Brasil",1988,0.0,Female,350.0,Graphite and gouache on paper,"Clark, Lygia",artist,,Planes on Modulated Surface (Study) (61),http://www.tate.org.uk/art/artworks/clark-planes-on-modulated-surface-study-61-t13712,250.0
1990,"Shipborne, United Kingdom",1879,1900,1900,Presented by the executors of the late Mrs M.H. Fearnley-Sander 1990,,1979,0.0,Female,406.0,Oil paint on canvas,"Clarke Hall, Lady Edna",artist,http://www.tate.org.uk/art/images/work/T/T05/T05773_8.jpg,Still Life of a Basket on a Chair,http://www.tate.org.uk/art/artworks/clarke-hall-still-life-of-a-basket-on-a-chair-t05773,558.0
1983,"Oldham, United Kingdom",1953,1980,1981,Presented by Paul Beldock 1983,,0,0.0,Male,686.0,Screenprint on paper,"Clarke, Brian",artist,http://www.tate.org.uk/art/images/work/P/P11/P11069_8.jpg,A La Recherche,http://www.tate.org.uk/art/artworks/clarke-a-la-recherche-p11069,1120.0
2003,"Derbyshire, United Kingdom",1924,1950,1951,Purchased from funds provided by the Knapping Fund 2003,,0,365.0,Male,435.0,Steel and stone,"Clarke, Geoffrey",artist,http://www.tate.org.uk/art/images/work/T/T11/T11755_8.jpg,Complexities of Man,http://www.tate.org.uk/art/artworks/clarke-complexities-of-man-t11755,1460.0
1979,United Kingdom,1941,1970,1976,Presented by Christie's Contemporary Art 1979,,0,0.0,Male,406.0,Intaglio print on paper,"Clarke, Graham",artist,http://www.tate.org.uk/art/images/work/P/P01/P01863_8.jpg,Mullion Cove,http://www.tate.org.uk/art/artworks/clarke-mullion-cove-p01863,286.0
1983,"Bridgwater, United Kingdom",1928,1950,1956,Transferred from the Victoria & Albert Museum 1983,,0,150.0,Male,380.0,Bronze,"Clatworthy, Robert",artist,http://www.tate.org.uk/art/images/work/T/T03/T03714_8.jpg,Bull,http://www.tate.org.uk/art/artworks/clatworthy-bull-t03714,180.0
2009,"London, United Kingdom",1852,1890,1895,Presented by Arthur and Helen Grogan through the Art Fund 2009,"Newbury, United Kingdom",1944,24.0,Male,548.0,Oil paint on canvas,"Clausen, Sir George",artist,http://www.tate.org.uk/art/images/work/T/T12/T12867_8.jpg,The Farmers Boy,http://www.tate.org.uk/art/artworks/clausen-the-farmers-boy-t12867,755.0
1959,"Barcelona, Espaa",1913,1940,1947,Presented by Mr and Mrs Alexander Margulies 1959,"Saint-Tropez, France",2005,0.0,Male,457.0,Oil paint on canvas,"Clav, Antoni",artist,http://www.tate.org.uk/art/images/work/T/T00/T00302_8.jpg,Child with a Water-Melon,http://www.tate.org.uk/art/artworks/clave-child-with-a-water-melon-t00302,549.0
2013,"London, United Kingdom",1969,2010,2012,Presented by Sadie Coles HQ 2012 ,,0,65.0,Male,830.0,21 aluminium bricks,"Claydon, Steven",artist,,London Pixel Array 21,http://www.tate.org.uk/art/artworks/claydon-london-pixel-array-21-t13811,550.0
1996,"Napoli, Italia",1952,1970,1978,Presented by Janet Wolfson de Botton 1996,"Milano, Italia",0,0.0,Male,3000.0,Ink and gouache on paper on canvas,"Clemente, Francesco",artist,,Vestito/Vestitia,http://www.tate.org.uk/art/artworks/clemente-vestitovestitia-t07175,2034.0
1959,"Novara, Italia",1926,1950,1957,Purchased 1959,"Milano, Italia",1974,0.0,Male,889.0,Oil paint on canvas,"Clemente, Jack",artist,,Volcanic City,http://www.tate.org.uk/art/artworks/clemente-volcanic-city-t00236,1457.0
1988,"Morpeth, United Kingdom",1781,1820,1820,Purchased 1988,"London, United Kingdom",1840,0.0,Male,159.0,Intaglio print on paper,"Clennell, Luke",manner of,http://www.tate.org.uk/art/images/work/T/T05/T05375_8.jpg,Dawlish,http://www.tate.org.uk/art/artworks/clennell-dawlish-t05375,106.0
