abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
False,False,False,False,False,New York City,1641,False,1931,US,163,completed,False,False,102,False,381,False,False,261,False,True,True,40.748420715332,False,-73.98560333252,steel,False,False,Empire State Building,1,False,True,False,18,False,False,False,False,1930,False
False,False,False,False,False,New York City,1641,False,0,US,163,vision,False,False,110,False,368.20001220703,False,False,282,False,False,False,40.757579803467,False,-73.991600036621,steel,False,False,Larkin Building,1,False,True,False,19,False,False,False,False,0,False
False,False,False,False,False,New York City,1641,False,2009,US,163,completed,False,False,55,False,365.79998779297,False,False,291,False,True,True,40.755378723145,False,-73.984352111816,composite,False,False,Bank of America Tower,1,False,True,False,20,False,False,False,False,2004,False
False,False,False,False,False,Houston,1593,False,0,US,163,vision,False,False,0,False,356.61999511719,False,True,19850,False,False,False,0,False,0,steel,False,False,Block 142,3,False,True,False,21,False,True,False,False,0,False
False,False,False,False,False,Las Vegas,1610,False,1996,US,163,completed,False,False,0,False,350.2200012207,False,False,9401,False,True,True,36.147399902344,False,-115.15543365479,concrete,False,False,Stratosphere Tower,1,False,False,False,22,False,False,False,False,1994,True
False,False,False,False,False,Chicago,1539,False,1973,US,163,completed,False,False,83,False,346.26000976562,False,False,339,False,True,True,41.885158538818,False,-87.621452331543,steel,False,False,Aon Center,1,False,True,False,23,False,False,False,False,1970,False
False,False,False,False,False,Chicago,1539,False,1969,US,163,completed,False,False,100,False,343.69000244141,False,False,345,False,True,True,41.89879989624,False,-87.623062133789,steel,False,False,John Hancock Center,2,False,True,False,24,False,True,False,False,1965,False
False,False,False,False,False,Philadelphia,1657,False,2018,US,163,under construction,False,False,59,False,341.67999267578,False,True,16192,False,True,True,39.955020904541,False,-75.170288085938,composite,False,False,Comcast Innovation and Technology Center,2,False,True,False,25,False,False,False,False,2014,False
False,False,False,False,False,Los Angeles,1611,False,2017,US,163,structurally topped out,False,False,73,False,334.9700012207,False,True,9686,False,True,True,34.049900054932,False,-118.26001739502,composite,False,False,Wilshire Grand Center,2,False,True,False,26,False,False,False,False,2013,False
False,False,False,False,False,Shorewood,2217,False,1962,US,163,completed,False,False,0,False,329,False,False,17720,False,True,False,43.09061050415,False,-87.89720916748,steel,False,False,WITI TV Tower,1,False,False,False,27,False,False,False,False,0,True
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,80,False,328.88000488281,False,False,273,False,True,True,40.710868835449,False,-74.011573791504,composite,False,False,3 World Trade Center,1,False,True,False,28,False,False,False,False,2010,False
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,77,False,320.04000854492,False,False,317,False,True,True,40.761810302734,False,-73.978179931641,concrete,False,False,53 West 53rd,1,False,False,False,29,False,True,False,False,2015,False
False,False,False,False,False,Nashville,1640,False,0,US,163,vision,False,False,77,False,320,False,True,400,False,False,False,36.162590026855,False,-86.780212402344,concrete,False,False,Signature Tower,2,False,False,False,30,False,True,False,False,0,False
False,False,False,False,False,Chicago,1539,False,0,US,163,never completed,False,False,89,False,319.14001464844,False,True,420,False,False,True,41.886520385742,False,-87.631439208984,concrete,False,False,Waterview Tower,2,False,False,False,31,False,True,False,False,2006,False
False,False,False,False,False,New York City,1641,False,1930,US,163,completed,False,False,77,False,318.89999389648,False,False,422,False,True,True,40.751609802246,False,-73.97534942627,steel,False,False,Chrysler Building,1,False,True,False,32,False,False,False,False,1928,False
False,False,False,False,False,New York City,1641,False,2007,US,163,completed,False,False,52,False,318.76998901367,False,False,423,False,True,True,40.756088256836,False,-73.990043640137,steel,False,False,New York Times Tower,1,False,True,False,33,False,False,False,False,2004,False
